Species,Fruit_type,Fruit_type_and_notes,Notes,References
Porteranthus_stipulatus,Dry,"""Follicles""",,Gormley (1915)
Spiraea_trifoliata,Dry,Follicetum,,Xiang et al. (2016)
Gillenia_trifoliata,Dry,Follicetum,,Xiang et al. (2016)
Gillenia_stipulata,Dry,Follicetum,,Xiang et al. (2016)
Lindleya_mespiloides,Dry,"""Capsular dry fruits""",,Henrickson (2012)
Vauquelinia_corymbosa,Dry,Coccetum,,Xiang et al. (2016)
Vauquelinia_californica,Dry,Coccetum,,Xiang et al. (2016)
Sorbus_thomsonii,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_caloneura,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_dunnii,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_folgneri,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_yuana,Fleshy,Pome,,Xiang et al. (2016)
Aria_alnifolia,Fleshy,Pome,Note: Sorbus alnifolia (Basionym),Xiang et al. (2016); Tropicos accessed on Dec.2020
Sorbus_hemsleyi,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_tsinlingensis,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_coronata,Fleshy,Pome,,Xiang et al. (2016)
Photinia_hirsuta,Fleshy,Pome,,Xiang et al. (2016)
Photinia_impressivena,Fleshy,Pome,,Xiang et al. (2016)
Photinia_sorbifolia,Fleshy,Pome,,Xiang et al. (2016)
Photinia_schneideriana,Fleshy,Pome,,Xiang et al. (2016)
Photinia_benthamiana,Fleshy,Pome,,Xiang et al. (2016)
Photinia_fokienensis,Fleshy,Pome,,Xiang et al. (2016)
Photinia_parvifolia,Fleshy,Pome,,Xiang et al. (2016)
Photinia_villosa,Fleshy,Pome,,Xiang et al. (2016)
Photinia_komarovii,Fleshy,Pome,,Xiang et al. (2016)
Photinia_tsaii,Fleshy,Pome,,Xiang et al. (2016)
Photinia_beauverdiana,Fleshy,Pome,,Xiang et al. (2016)
Rhaphiolepis_umbellata,Fleshy,Pome,,Xiang et al. (2016)
Photinia_stenophylla,Fleshy,Pome,,Xiang et al. (2016)
Cotoneaster_verruculosus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_nitidus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_morrisonensis,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_assamensis,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_roseus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_melanocarpus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_integerrimus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_armenus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_niger,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_cambricus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_racemiflorus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_mongolicus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_multiflorus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_przewalskii,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_bullatus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_sylvestrii,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_oliganthus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_hebephyllus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_submultiflorus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_dammeri,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_coriaceus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_turbinatus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_giraldii,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_conspicuus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_poluninii,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_procumbens,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_buxifolius,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_frigidus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_monopyrenus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_songaricus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_glomerulatus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_reticulatus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_dielsianus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_divaricatus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_obscurus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_adpressus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_sternianus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_wardii,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_acuminatus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_atropurpureus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_moupinensis,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_taoensis,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_microphyllus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_perpusillus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_salicifolius,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_ambiguus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_foveolatus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_franchetii,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_subadpressus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_glaucophyllus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_rotundifolius,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_acutifolius,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_nitens,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_sp,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_pannosus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_apiculatus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_rehderi,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_horizontalis,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_harrysmithii,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Photinia_berberidifolia,Fleshy,Pome,,Xiang et al. (2016)
Stranvaesia_davidiana,Fleshy,Pome,,Xiang et al. (2016)
Photinia_davidiana,Fleshy,Pome,,Xiang et al. (2016)
Photinia_integrifolia,Fleshy,Pome,,Xiang et al. (2016)
Photinia_prionophylla,Fleshy,Pome,,Xiang et al. (2016)
Cormus_domestica,Fleshy,Pome,note: Basionym Sorbus domestica,Xiang et al. (2016)
Sorbus_domestica,Fleshy,Pome,,Xiang et al. (2016)
Chamaemespilus_alpina,Fleshy,Pome,"note: "" Often included in Sorbus s.""",Robertson et al. 1991
Sorbus_cambrensis,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_porrigentiformis,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_eminentiformis,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_stenophylla,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_rupicola,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_aria,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_whiteana,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_hibernica,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_leptophylla,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_stirtoniana,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_saxicola,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_eminens,Fleshy,Pome,,Xiang et al. (2016)
Torminalis_sp,Fleshy,Pome,note: segragated from Sorbus,Robertson et al. 1991
Torminalis_clusii,Fleshy,Pome,note: segragated from Sorbus,Robertson et al. 1991
Sorbus_torminalis,Fleshy,Pome,,Xiang et al. (2016)
Pyracantha_angustifolia,Fleshy,Pome,,Robertson et al. 1991
Pyracantha_crenulata,Fleshy,Pome,,Robertson et al. 1991
Pyracantha_fortuneana,Fleshy,Pome,,Robertson et al. 1991
Pyracantha_coccinea,Fleshy,Pome,,Robertson et al. 1991
Eriobotrya_deflexa,Fleshy,Pome,,Xiang et al. (2016)
Eriobotrya_fragrans,Fleshy,Pome,,Xiang et al. (2016)
Eriobotrya_japonica,Fleshy,Pome,,Xiang et al. (2016)
Eriobotrya_bengalensis,Fleshy,Pome,,Xiang et al. (2016)
Eriobotrya_tengyuehensis,Fleshy,Pome,,Xiang et al. (2016)
Eriobotrya_prinoides,Fleshy,Pome,,Xiang et al. (2016)
Eriobotrya_seguinii,Fleshy,Pome,,Xiang et al. (2016)
Eriobotrya_malipoensis,Fleshy,Pome,,Xiang et al. (2016)
Rhaphiolepis_indica,Fleshy,Pome,,Xiang et al. (2016)
Dichotomanthes_tristaniicarpa,Fleshy,Pome,"note: ""The flesh of the fruit is of hypanthial origin, unlike the drupe of Prunus, which comes from ovarian tissue""",Robertson et al. 1991
Osteomeles_schwerinae,Fleshy,Pome,,"Rohrer et al., 1991"
Osteomeles_anthyllidifolia,Fleshy,Pome,,"Rohrer et al., 1991"
Photinia_bodinieri,Fleshy,Pome,,Xiang et al. (2016)
Stranvaesia_nussia,Fleshy,Pome,,Xiang et al. (2016)
Stranvaesia_oblanceolata,Fleshy,Pome,,Xiang et al. (2016)
Eriobotrya_cavaleriei,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_ussuriensis,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_korshinskyi,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_hopeiensis,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_syriaca,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_spinosa,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_elaeagnifolia,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_amygdaliformis,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_communis,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_elaeagrifolia,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_cossonii,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_salicifolia,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_sinkiangensis,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_pashia,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_pseudopashia,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_fauriei,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_betulifolia,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_serrulata,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_dimorphophylla,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_phaeocarpa,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_calleryana,Fleshy,Pome,,Xiang et al. (2016)
Pyrus_pyrifolia,Fleshy,Pome,,Xiang et al. (2016)
Chaenomeles_sinensis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Cydonia_oblonga,Fleshy,Pome,,Xiang et al. (2016)
Crataegus_columbiana,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Photinia_serratifolia,Fleshy,Pome,,Xiang et al. (2016)
Photinia_glomerata,Fleshy,Pome,,Xiang et al. (2016)
Photinia_chihsiniana,Fleshy,Pome,,Xiang et al. (2016)
Photinia_lochengensis,Fleshy,Pome,,Xiang et al. (2016)
Photinia_tushanensis,Fleshy,Pome,,Xiang et al. (2016)
Photinia_prunifolia,Fleshy,Pome,,Xiang et al. (2016)
Photinia_glabra,Fleshy,Pome,,Xiang et al. (2016)
Photinia_raupingensis,Fleshy,Pome,,Xiang et al. (2016)
Heteromeles_arbutifolia,Fleshy,Pome,,Xiang et al. (2016)
Malus_doumeri,Fleshy,Pome,,Xiang et al. (2016)
Malus_leiocalyca,Fleshy,Pome,,Xiang et al. (2016)
Chamaemeles_coriacea,Fleshy,Pome,,Rohrer et al. (1991)
Docyniopsis_tschonoskii,Fleshy,Pome,,Rohrer et al. (1991)
Malus_tschonoskii,Fleshy,Pome,,Xiang et al. (2016)
Malus_spectabilis,Fleshy,Pome,,Xiang et al. (2016)
Docynia_indica,Fleshy,Pome,,Rohrer et al. (1991)
Docynia_delavayi,Fleshy,Pome,,Rohrer et al. (1991)
Malus_florentina,Fleshy,Pome,,Xiang et al. (2016)
Malus_brevipes,Fleshy,Pome,,Xiang et al. (2016)
Malus_prattii,Fleshy,Pome,,Xiang et al. (2016)
Malus_honanensis,Fleshy,Pome,,Xiang et al. (2016)
Malus_fusca,Fleshy,Pome,,Xiang et al. (2016)
Malus_kansuensis,Fleshy,Pome,,Xiang et al. (2016)
Malus_yunnanensis,Fleshy,Pome,,Xiang et al. (2016)
Malus_toringoides,Fleshy,Pome,,Xiang et al. (2016)
Malus_ombrophila,Fleshy,Pome,,Xiang et al. (2016)
Malus_sieversii,Fleshy,Pome,,Xiang et al. (2016)
Malus_asiatica,Fleshy,Pome,,Xiang et al. (2016)
Malus_denticulata,Fleshy,Pome,,Xiang et al. (2016)
Malus_niedzwetzkyana,Fleshy,Pome,,Xiang et al. (2016)
Malus_orientalis,Fleshy,Pome,,Xiang et al. (2016)
Malus_ringo,Fleshy,Pome,,Xiang et al. (2016)
Malus_caspiriensis,Fleshy,Pome,,Xiang et al. (2016)
Malus_sylvestris,Fleshy,Pome,,Xiang et al. (2016)
Malus_domestica,Fleshy,Pome,,Xiang et al. (2016)
Malus_transitoria,Fleshy,Pome,,Xiang et al. (2016)
Malus_baccata,Fleshy,Pome,,Xiang et al. (2016)
Malus_rockii,Fleshy,Pome,,Xiang et al. (2016)
Malus_hupehensis,Fleshy,Pome,,Xiang et al. (2016)
Malus_halliana,Fleshy,Pome,,Xiang et al. (2016)
Malus_carolinensis,Fleshy,Pome,,Xiang et al. (2016)
Malus_sargentii,Fleshy,Pome,,Xiang et al. (2016)
Malus_prunifolia,Fleshy,Pome,,Xiang et al. (2016)
Malus_zumi,Fleshy,Pome,,Xiang et al. (2016)
Malus_pallasiana,Fleshy,Pome,,Xiang et al. (2016)
Malus_pumila,Fleshy,Pome,,Xiang et al. (2016)
Malus_micromalus,Fleshy,Pome,,Xiang et al. (2016)
Malus_floribunda,Fleshy,Pome,,Xiang et al. (2016)
Malus_mandshurica,Fleshy,Pome,,Xiang et al. (2016)
Malus_sieboldii,Fleshy,Pome,,Xiang et al. (2016)
Malus_sikkimensis,Fleshy,Pome,,Xiang et al. (2016)
Malus_trilobata,Fleshy,Pome,,Xiang et al. (2016)
Malus_coronaria,Fleshy,Pome,,Xiang et al. (2016)
Malus_angustifolia,Fleshy,Pome,,Xiang et al. (2016)
Malus_ioensis,Fleshy,Pome,,Xiang et al. (2016)
Pseudocydonia_sinensis,Fleshy,Pome,,Xiang et al. (2016)
Chaenomeles_speciosa,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Chaenomeles_japonica,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Chaenomeles_cathayensis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Photinia_oblongifolia,Fleshy,Pome,,Xiang et al. (2016)
Crataegus_meyeri,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_rhipidophylla,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_nevadensis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_pseudoheterophylla,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_orientalis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_pycnoloba,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_phaenopyrum,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_marshallii,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_almaatensis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_douglasii,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_castlegarensis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_suksdorfii,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_sanguinea,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_chlorosarca,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_wattiana,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_russanovii,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_dahurica,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_kansuensis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_maximowiczii,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_wilsonii,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_nigra,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_saligna,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_erythropoda,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_rivularis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_calpodendron,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_succulenta,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_macracantha,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_sp,remove,remove,,remove
Crataegus_submollis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_mollis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_aestivalis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_rufula,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_flabellata,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_irrasa,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_engelmannii,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_crux,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_collina,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_okennonii,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_chrysocarpa,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_agrestina,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_lassa,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_munda,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_triflora,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_punctata,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_enderbyensis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_dodgei,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_crus-galli,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_compacta,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_harbisonii,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_ashei,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_viridis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_sargentii,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_opaca,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_uniflora,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_grossidentata,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_laevigata,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_heldreichii,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_babakhanloui,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_monogyna,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_songarica,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_pinnatifida,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_pentagyna,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_hupehensis,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_spathulata,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Mespilus_canescens,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Mespilus_germanica,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Crataegus_brachyacantha,Fleshy,polyprenous drupe,,Xiang et al. (2016)
Hesperomeles_latifolia,Fleshy,Pome,,Rohrer et al. (1991)
Hesperomeles_palcensis,Fleshy,Pome,,Xiang et al. (2016)
Malacomeles_denticulata,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_alnifolia,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_sanguinea,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_cusickii,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_utahensis,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_pumila,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_spicata,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_ovalis,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_interior,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_arborea,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_bartramiana,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_quinti-martii,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_intermedia,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_nantucketensis,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_canadensis,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_fernaldii,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_stolonifera,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_laevis,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_lamarckii,Fleshy,Pome,,Xiang et al. (2016)
Amelanchier_asiatica,Fleshy,Pome,,Xiang et al. (2016)
Peraphyllum_ramosissimum,Fleshy,Pome,,Rohrer et al. (1991)
Sorbus_randaiensis,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_forrestii,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_discolor,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_koehneana,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_aronioides,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_prattii,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_glomerulata,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_tianschanica,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_commixta,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_intermedia,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_scopulina,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_vilmorinii,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_decora,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_leyana,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_cuneifolia,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_aucuparia,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_anglica,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_minima,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_americana,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_californica,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_sambucifolia,Fleshy,Pome,,Xiang et al. (2016)
Aronia_melanocarpa,Fleshy,Pome,,Rohrer et al. (1991)
Aronia_arbutifolia,Fleshy,Pome,,Rohrer et al. (1991)
Aronia_sp,remove,remove,,
Aronia_prunifolia,Fleshy,Pome,,Rohrer et al. (1991)
Lindleyella_schiedeana,Dry,Capsule,"note: ""Obose, loculicidally dehiscent woody capsule""",Henrickson (2012)
Kageneckia_oblonga,Dry,Follicetum,,Xiang et al. (2016)
Kageneckia_angustifolia,Dry,Follicetum,,Xiang et al. (2016)
Prunus_hypoleuca,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_incisoserrata,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_lusitanica,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_azorica,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_laurocerasus,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_undulata,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_perulata,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_buergeriana,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_virginiana,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_padus,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_obtusata,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_brachypoda,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_fordiana,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_phaeosticta,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_occidentalis,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_ilicifolia,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_alabamensis,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_serotina,Fleshy,Drupe,,Xiang et al. (2016)
Prunus_skutchii,Fleshy,Drupe,,Xiang et al. (2016)
