Species,Fruit_type,Fruit_type_and_notes,Notes,References
Rosa_pendulina,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_woodsii,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_beggeriana,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_caesia,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_palustris,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_davurica,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_sertata,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_virginiana,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_sicula,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_californica,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_blanda,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_nitida,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_arkansana,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_rugosa,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_marretii,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_carolina,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_foliolosa,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_multibracteata,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Rosa_stellata,Fleshy,Achenetum,"""hypanthium fleshy when fruiting""",Kalkman (2004); Xiang et al. (2016)
Sibbaldia_procumbons,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Potentilla_miyabei,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Sibbaldianthe_bifurca,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Sibbaldia_adpressa,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Sibbaldia_parviflora,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Sibbaldia_cuneata,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Sibbaldia_procumbens,Dry,Achenetum,,Kalkman (2004); Xiang et al. (2016)
Alchemilla_rothii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_rutenbergii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_colura,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_elongata,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_woodii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_granvikii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_hildebrandtii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_ellenbeckii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_volkensii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_kiwuensis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_microbetula,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_schizophylla,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_triphylla,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_argyrophylla,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_subnivalis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_stuhlmannii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_elgonensis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_cryptantha,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_haumanii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_fischeri,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_abyssinica,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_hageniae,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
