,species,mean_temp,se_temp,within_sp_var_temp,mean_prec,se_prec,within_sp_var_prec,mean_pet,se_pet,within_sp_var_pet,mean_aridity,se_aridity,within_sp_var_aridity,Fruit_type
91,Cliffortia_dentata,5.655117,NA,0.000182,7.342132,NA,0.184609,7.444833,NA,0.040334,8.426831,NA,0.196052,Dry
92,Cliffortia_dichotoma,5.666946,NA,0.000182,5.913503,NA,0.184609,7.697121,NA,0.040334,7.110696,NA,0.196052,Dry
93,Cliffortia_dispar,5.662202,0.002353,6.10E-05,6.456619,0.234801,0.061536,7.428349,0.055793,0.013445,8.017434,0.238232,0.065351,Dry
94,Cliffortia_dodecandra,5.665908,NA,0.000182,6.593045,NA,0.184609,7.358194,NA,0.040334,8.207674,NA,0.196052,Dry
95,Cliffortia_dracomontana,5.633181,NA,0.000182,7.204149,NA,0.184609,7.104144,NA,0.040334,8.980172,NA,0.196052,Dry
96,Cliffortia_dregeana,5.64102,NA,0.000182,6.628041,NA,0.184609,7.38709,NA,0.040334,8.057061,NA,0.196052,Dry
97,Cliffortia_drepanoides,5.665561,0.001039,9.10E-05,6.253516,0.025005,0.092305,7.437594,0.03149,0.020167,8.021441,0.024788,0.098026,Dry
98,Cliffortia_erectisepala,5.663825,0.002428,9.10E-05,6.888893,0.241205,0.092305,7.454404,0.007236,0.020167,8.407059,0.029358,0.098026,Dry
99,Cliffortia_ericifolia,5.671087,NA,0.000182,6.463029,NA,0.184609,7.346655,NA,0.040334,8.204945,NA,0.196052,Dry
100,Cliffortia_eriocephalina,5.651543,0.002733,2.00E-05,6.362762,0.115119,0.020512,7.445919,0.01936,0.004482,7.971085,0.085847,0.021784,Dry
101,Cliffortia_esterhuyseniae,5.639599,NA,0.000182,6.822197,NA,0.184609,7.410952,NA,0.040334,8.074026,NA,0.196052,Dry
102,Cliffortia_exilifolia,5.658242,0.004412,6.10E-05,6.563325,0.295963,0.061536,7.376376,0.018501,0.013445,8.166855,0.202659,0.065351,Dry
103,Cliffortia_falcata,5.667759,0.002963,2.60E-05,6.201297,0.0846,0.026373,7.386395,0.023607,0.005762,7.975691,0.074525,0.028007,Dry
104,Cliffortia_ferricola,5.670743,NA,0.000182,6.484635,NA,0.184609,7.350516,NA,0.040334,8.384347,NA,0.196052,Dry
105,Cliffortia_ferruginea,5.665617,0.003816,2.60E-05,6.567395,0.114137,0.026373,7.38744,0.022603,0.005762,8.22331,0.118224,0.028007,Dry
106,Cliffortia_filicauloides,5.642084,NA,0.000182,7.185387,NA,0.184609,7.282761,NA,0.040334,8.750683,NA,0.196052,Dry
107,Cliffortia_filifolia,5.662734,0.00726,6.10E-05,6.704163,0.386952,0.061536,7.362593,0.007197,0.013445,8.186643,0.168,0.065351,Dry
108,Cliffortia_glauca,5.662345,0.003512,3.60E-05,6.273483,0.142216,0.036922,7.409615,0.032268,0.008067,8.000317,0.11309,0.03921,Dry
109,Cliffortia_gracillima,5.663828,NA,0.000182,6.230481,NA,0.184609,7.409742,NA,0.040334,7.870548,NA,0.196052,Dry
110,Cliffortia_graminea,5.664516,0.003467,9.10E-05,6.781312,0.079352,0.092305,7.328479,0.023962,0.020167,8.283243,0.038909,0.098026,Dry
111,Cliffortia_hantamensis,5.657761,0.003765,3.00E-05,5.851522,0.170815,0.030768,7.505842,0.057686,0.006722,7.532748,0.20126,0.032675,Dry
112,Cliffortia_heterophylla,5.665561,NA,0.000182,6.89467,NA,0.184609,7.307873,NA,0.040334,8.565031,NA,0.196052,Dry
113,Cliffortia_hexandra,5.666367,0.0109,9.10E-05,5.900254,0.324305,0.092305,7.605402,0.080301,0.020167,7.282101,0.269085,0.098026,Dry
114,Cliffortia_hirsuta,5.671087,NA,0.000182,6.689599,NA,0.184609,7.275865,NA,0.040334,8.432071,NA,0.196052,Dry
115,Cliffortia_hirta,5.671431,NA,0.000182,6.562444,NA,0.184609,7.425954,NA,0.040334,8.133,NA,0.196052,Dry
116,Cliffortia_ilicifolia,5.671593,0.002029,3.00E-05,6.479101,0.114303,0.030768,7.351852,0.017977,0.006722,8.246508,0.091625,0.032675,Dry
117,Cliffortia_incana,5.671776,NA,0.000182,6.36647,NA,0.184609,7.362011,NA,0.040334,7.888335,NA,0.196052,Dry
118,Cliffortia_integerrima,5.667291,NA,0.000182,6.76273,NA,0.184609,7.415175,NA,0.040334,8.23695,NA,0.196052,Dry
