Species,Fruit_type,Dispersal_mode_detailed,Fruit_type_and_notes,Notes,References,,Solanum clade
Nierembergia_rigida,Dry,,Capsule,,Knapp (2002),,
Nierembergia_hatschbachii,Dry,,Capsule,,Knapp (2002),,
Nierembergia_micrantha,Dry,,Capsule,,Knapp (2002),,
Bouchetia_anomala,Dry,,Capsule,,Knapp (2002),,
Bouchetia_erecta,Dry,,Capsule,,Knapp (2002),,
Hunzikeria_texana,Dry,,Capsule,,Knapp (2002),,
Plowmania_nyctaginoides,Dry,,Capsule,,Knapp (2002),,
Leptoglossis_darcyana,Dry,,Capsule,,Knapp (2002),,
Brunfelsia_americana,Dry,,Capsule,,Knapp (2002),,
Brunfelsia_uniflora,Dry,,Capsule,,Knapp (2002),,
Petunia_reitzii,Dry,,Capsule,,Knapp (2002),,
Petunia_saxicola,Dry,,Capsule,,Knapp (2002),,
Petunia_altiplana,Dry,,Capsule,,Knapp (2002),,
Petunia_secreta,Dry,,Capsule,,Knapp (2002),,
Petunia_bonjardinensis,Dry,,Capsule,,Knapp (2002),,
Petunia_scheideana,Dry,,Capsule,,Knapp (2002),,
Petunia_mantiqueirensis,Dry,,Capsule,,Knapp (2002),,
Petunia_integrifolia,Dry,,Capsule,,Knapp (2002),,
Petunia_littoralis,Dry,,Capsule,,Knapp (2002),,
Petunia_axillaris,Dry,,Capsule,,Knapp (2002),,
Petunia_exserta,Dry,,Capsule,,Knapp (2002),,
Calibrachoa_parviflora,Dry,,Capsule,,Knapp (2002),,
Calibrachoa_pygmaea,Dry,,Capsule,,Knapp (2002),,
Calibrachoa_sellowiana,Dry,,Capsule,,Knapp (2002),,
Fabiana_imbricata,Dry,,Capsule,,Knapp (2002),,
Schizanthus_integrifolius,Dry,,Capsule,,Knapp (2002),,
Schizanthus_lacteus,Dry,,Capsule,,Knapp (2002),,
Schizanthus_candidus,Dry,,Capsule,,Knapp (2002),,
Schizanthus_alpestris,Dry,,Capsule,,Knapp (2002),,
Schizanthus_grahamii,Dry,,Capsule,,Knapp (2002),,
Schizanthus_hookeri,Dry,,Capsule,,Knapp (2002),,
Schizanthus_parvulus,Dry,,Capsule,,Knapp (2002),,
Schizanthus_tricolor,Dry,,Capsule,,Knapp (2002),,
Schizanthus_pinnatus,Dry,,Capsule,,Knapp (2002),,
Schizanthus_litoralis,Dry,,Capsule,,Knapp (2002),,
Schizanthus_porrigens,Dry,,Capsule,,Knapp (2002),,
