Species,Fruit_type,Dispersal_mode_detailed,Fruit_type_and_notes,Notes,References,,Solanum clade
Solanum_pseudocapsicum,Fleshy,,Berry,"Note: ""all Geminata clade are fleshy berries, green at maturity""; sometimes also red, orange or purple",Knapp (2008),Geminata,
Solanum_havanense,Fleshy,,Berry,"Note: ""all Geminata clade are fleshy berries, green at maturity""; sometimes also red, orange or purple",Knapp (2008),Geminata,
Solanum_delitescens,Fleshy,,Berry,"Note: ""green""",solanaceaesource.org,,
Solanum_reductum,Fleshy,,Berry,"Note: ""bright orange to orange-red when ripe""",solanaceaesource.org,,
Solanum_asperum,Fleshy,,Berry,"Note: ""fruits are fleshy, indehicent berries""",Roe (1972); Giacomin and Stehmann (2014),Brevantherum,
Solanum_mauritianum,Fleshy,,Berry,"Note: ""fruits are fleshy, indehicent berries""",Roe (1972); Giacomin and Stehmann (2014),Brevantherum,
Solanum_rugosum,Fleshy,,Berry,"Note: ""fruits are fleshy, indehicent berries""",Roe (1972); Giacomin and Stehmann (2014),Brevantherum,
Solanum_cordovense,Fleshy,,Berry,"Note: ""fruits are fleshy, indehicent berries"";""globose juicy black berry""",Roe (1972); Giacomin and Stehmann (2014); Smith and Knapp (2002),Brevantherum,
Solanum_schlechtendalianum,Fleshy,,Berry,"Note: ""fruits are fleshy, indehicent berries""",Roe (1972); Giacomin and Stehmann (2014),Brevantherum,
Solanum_lepidotum,Fleshy,,Berry,"Note: ""fruits are fleshy, indehicent berries""",Roe (1972); Giacomin and Stehmann (2014),Brevantherum,
Solanum_abutiloides,Fleshy,,Berry,"Note: ""fruits are fleshy, indehicent berries""",Roe (1972); Giacomin and Stehmann (2014),Brevantherum,
Solanum_inelegans,Fleshy,,Berry,"Note: ""fruits are fleshy, indehicent berries""",Roe (1972); Giacomin and Stehmann (2014),Brevantherum,
Solanum_adscendens,Dry,,Berry,"Note: ""fruits with explosive dehiscence when mature""",Stern et al. (2013),Section Gonatotrichum,
Solanum_turneroides,Dry,,Berry,"Note: ""fruits with explosive dehiscence when mature""",Stern et al. (2013),Section Gonatotrichum,
Solanum_circinatum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_tenuisetosum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_tegore,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_proteanthum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_occultum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_sibundoyense,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_endopogon,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_cajanumense,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_fallax,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_betaceum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_unilobum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_maternum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_roseum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_obliquum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_pendulum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_tobagense,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_oxyphyllum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_confusum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_hibernum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_luteoalbum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_stuckertii,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_fusiforme,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_melissarum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_cylindricum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_glaucophyllum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_cacosmum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_exiguum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_latiflorum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_pinetorum,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_sciadostylis,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_diploconos,Fleshy,,Berry,"Note: ""fleshy berries""; ""often yellow to orange when ripe""; ""probably mammal dispersed""",Bohs (1994),Cyphomandra,
Solanum_clandestinum,Fleshy,,Berry,"Note: ""globose berry, orange when ripe""",Nee et al. (2006),,
Solanum_mapiriense,Fleshy,,Berry,,Bohs (1990),,
Solanum_guerreroense,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_hougasii,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_verrucosum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_hjertingii,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_okadae,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_stoloniferum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_sparsipilum,no_info,,Berry,,,,
Solanum_leptophyes,no_info,,Berry,,,,
Solanum_oplocense,no_info,,Berry,,,,
Solanum_infundibuliforme,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_avilesii,no_info,,Berry,,,,
Solanum_berthaultii,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_tarijense,no_info,,Berry,,,,
Solanum_arnezii,no_info,,Berry,,,,
Solanum_yungasense,no_info,,Berry,,,,
Solanum_chacoense,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_kurtzianum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_spegazzinii,no_info,,Berry,,,,
Solanum_alandiae,no_info,,Berry,,,,
Solanum_demissum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_brevicaule,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_microdontum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_bukasovii,no_info,,Berry,,,,
Solanum_pampasense,no_info,,Berry,,,,
Solanum_candolleanum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_marinasense,no_info,,Berry,,,,
Solanum_sucrense,no_info,,Berry,,,,
Solanum_tuberosum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_ugentii,no_info,,Berry,,,,
Solanum_vernei,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_circaeifolium,no_info,,Berry,,,,
Solanum_maglia,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_santolallae,no_info,,Berry,,,,
Solanum_laxissimum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_achacachense,no_info,,Berry,,,,
Solanum_lignicaule,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_raphanifolium,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_colombianum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_subpanduratum,no_info,,Berry,,,,
Solanum_tundalomense,no_info,,Berry,,,,
Solanum_agrimonifolium,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_oxycarpum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_longiconicum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_acaule,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_megistacrolobum,no_info,,Berry,,,,
Solanum_albicans,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_iopetalum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_violaceimarmoratum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_doddsii,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_stenophyllidium,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_incamayoense,no_info,,Berry,,,,
Solanum_schenckii,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_andreanum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_acroscopicum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_multiinterruptum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_moscopanum,no_info,,Berry,,,,
Solanum_piurae,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_immite,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_pascoense,no_info,,Berry,,,,
Solanum_pinnatisectum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_chomatophilum,no_info,,Berry,,,,
Solanum_scabrifolium,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_cardiophyllum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_ehrenbergii,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_polyadenium,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_clarum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_morelliforme,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_bulbocastanum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_jamesii,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_cheesmaniae,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_pimpinellifolium,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_lycopersicum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_galapagense,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_chmielewskii,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_pennellii,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_chilense,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_peruvianum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_habrochaites,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_neorickii,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_juglandifolium,no_info,,Berry,,,,
Solanum_ochranthum,Fleshy,,Berry,,,,
Solanum_lycopersicoides,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_sitiens,Dry,,Berry,"Note: ""Dry berry""",solanaceaesource.org,Peralta ,
Solanum_etuberosum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_palustre,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_appendiculatum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_brevifolium,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_caripense,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_fraxinifolium,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_taeniotrichum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_muricatum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_anceps,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_conicum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_angustialatum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_chamaepolybotryon,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_mite,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_incurvum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_ternatum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_savanillense,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_phaseoloides,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_evolvulifolium,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_montanum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_paposanum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_multifidum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_americanum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""the pulp is invariably succulent""",solanaceaesource.org,subgenus Solanum section solanum,
Solanum_nigrum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""the pulp is invariably succulent""",solanaceaesource.org,subgenus Solanum section solanum,
Solanum_ptychanthum,no_info,,Berry,,,,
Solanum_tredecimgranum,no_info,,Berry,,,,
Solanum_opacum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""the pulp is invariably succulent""",solanaceaesource.org,subgenus Solanum section solanum,
Solanum_retroflexum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""the pulp is invariably succulent""",solanaceaesource.org,subgenus Solanum section solanum,
Solanum_scabrum,Fleshy,,Berry,"Note: ""cultivated for their fruits""; ""Garden Huckleberry”",solanaceaesource.org,,
Solanum_villosum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""the pulp is invariably succulent""",solanaceaesource.org,subgenus Solanum section solanum,
Solanum_annuum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_enantiophyllanthum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_fiebrigii,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_pallidum,no_info,,Berry,,,,
Solanum_physalifolium,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""the pulp is invariably succulent""",solanaceaesource.org,subgenus Solanum section solanum,
Solanum_triflorum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,subgenus Solanum section Parasolanum,
Solanum_riojense,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_caesium,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_palitans,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_tripartitum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_lyratum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""Mature berries red""",Knapp (2013); solanaceaesource.org,,
Solanum_wallacei,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""Mature berries black or purple""",Knapp (2013); solanaceaesource.org,,
Solanum_dulcamara,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""Mature berries red""",Knapp (2013); solanaceaesource.org,,
Solanum_amygdalifolium,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""Mature berries black or purple""",Knapp (2013); solanaceaesource.org,,
Solanum_crispum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""Mature berries red""",Knapp (2013); solanaceaesource.org,,
Solanum_laxum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""Mature berries black or purple""",Knapp (2013); solanaceaesource.org,,
Solanum_aligerum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""Mature berries black or purple""",Knapp (2013); solanaceaesource.org,,
Solanum_nitidum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""Mature berries red""",Knapp (2013); solanaceaesource.org,,
Solanum_pubigerum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""Mature berries red""",Knapp (2013); solanaceaesource.org,,
Solanum_uncinellum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""; ""Mature berries red/black""",Knapp (2013); solanaceaesource.org,,
Solanum_calileguae,no_info,,Berry,,,,
Solanum_aviculare,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,subgenus Archaesolanum,
Solanum_multivenosum,no_info,,Berry,,,,
Solanum_laciniatum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_linearifolium,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_vescum,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_simile,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_symonii,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_capsiciforme,Fleshy,,Berry,"Note: ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_herculeum,Dry,,Berry,"Note: ""Dry berry""; ""The fruits and seeds of Solanum herculeum are distinctive within Solanum; the thin pericarp that turns pape""",solanaceaesource.org,,
Solanum_trisectum,no_info,,Berry,,,,
Solanum_aggregatum,no_info,,Berry,,,,
Solanum_guineense,Fleshy,,Berry,"Note: ""fleshy berry""; ""reddish orange when mature, the pericarp apparently thin and somewhat shiny""",solanaceaesource.org,,
Solanum_nakurense,no_info,,Berry,,,,
Solanum_terminale,Fleshy,,Berry,"Note: ""bright red when ripe, the pericarp very thin and shiny""; ""leathery or fleshy berry""",solanaceaesource.org,,
Solanum_quadrangulare,no_info,,Berry,,,,
Solanum_valdiviense,Fleshy,,Berry,"Note: ""mature berries red/orange or yellowish green""; ""leathery or fleshy berry""",Knapp (2013); solanaceaesource.org,,
Solanum_monarchostemon,Fleshy,,Berry,"Note: ""soft berries on erect pedicels that remain green at maturity suggest either bats or small mammals as dispersal agents""",Knapp (2000),,
Solanum_thelopodium,Fleshy,,Berry,"Note: ""soft berries on erect pedicels that remain green at maturity suggest either bats or small mammals as dispersal agents""",Knapp (2000),,
Jaltomata_dendroidea,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_guillermoguerrae,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_sanchezvegae,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_ventricosa,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_tayabambae,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_weberbaueri,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_yacheri,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_herrerae,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_bernardelloana,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_sagastegui,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_nigricolor,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_paneroi,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_chotanae,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_lanata,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_lojae,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_aspera,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_lomana,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_mionei,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_truxillana,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_cajacayensis,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_bicolor,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_umbellata,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_dentata,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_biflora,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_contumacensis,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_leivae,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_yungayensis,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_viridiflora,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_lezamae,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_sinuosa,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_andersonii,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_oppositifolia,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_salpoensis,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_antillana,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_auriculata,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_bohsiana,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_procumbens,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_chihuahuensis,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_grandiflora,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_darcyana,Fleshy,,Berry,,Knapp (2002),,
Jaltomata_repandidentata,Fleshy,,Berry,,Knapp (2002),,
Physalis_mollis,Fleshy,,Berry,,Knapp (2002),,
Physalis_viscosa,Fleshy,,Berry,,Knapp (2002),,
Physalis_cinerascens,Fleshy,,Berry,,Knapp (2002),,
Physalis_pumila,Fleshy,,Berry,,Knapp (2002),,
Physalis_angustifolia,Fleshy,,Berry,,Knapp (2002),,
Physalis_walteri,Fleshy,,Berry,,Knapp (2002),,
Physalis_arenicola,Fleshy,,Berry,,Knapp (2002),,
Physalis_heterophylla,Fleshy,,Berry,,Knapp (2002),,
Physalis_virginiana,Fleshy,,Berry,,Knapp (2002),,
Physalis_lanceolata,Fleshy,,Berry,,Knapp (2002),,
Physalis_angulata,Fleshy,,Berry,,Knapp (2002),,
Physalis_pubescens,Fleshy,,Berry,,Knapp (2002),,
Physalis_lagascae,Fleshy,,Berry,,Knapp (2002),,
Physalis_cordata,Fleshy,,Berry,,Knapp (2002),,
Physalis_ignota,Fleshy,,Berry,,Knapp (2002),,
Physalis_minima,Fleshy,,Berry,,Knapp (2002),,
Physalis_pruinosa,Fleshy,,Berry,,Knapp (2002),,
Physalis_coztomatl,Fleshy,,Berry,,Knapp (2002),,
Physalis_minimaculata,Fleshy,,Berry,,Knapp (2002),,
Physalis_campanulata,Fleshy,,Berry,,Knapp (2002),,
Physalis_greenmanii,Fleshy,,Berry,,Knapp (2002),,
Physalis_caudella,Fleshy,,Berry,,Knapp (2002),,
Physalis_hederifolia,Fleshy,,Berry,,Knapp (2002),,
Physalis_sordida,Fleshy,,Berry,,Knapp (2002),,
Physalis_glutinosa,Fleshy,,Berry,,Knapp (2002),,
Physalis_longifolia,Fleshy,,Berry,,Knapp (2002),,
Physalis_angustiphysa,Fleshy,,Berry,,Knapp (2002),,
Physalis_lassa,Fleshy,,Berry,,Knapp (2002),,
Physalis_peruviana,Fleshy,,Berry,,Knapp (2002),,
Physalis_nicandroides,Fleshy,,Berry,,Knapp (2002),,
Physalis_patula,Fleshy,,Berry,,Knapp (2002),,
Physalis_microcarpa,Fleshy,,Berry,,Knapp (2002),,
Physalis_philadelphica,Fleshy,,Berry,,Knapp (2002),,
Physalis_acutifolia,Fleshy,,Berry,,Knapp (2002),,
Physalis_crassifolia,Fleshy,,Berry,,Knapp (2002),,
Chamaesaracha_coronopus,Fleshy,,Berry,,Knapp (2002),,
Chamaesaracha_sordida,Fleshy,,Berry,,Knapp (2002),,
Physalis_arborescens,Fleshy,,Berry,,Knapp (2002),,
Physalis_melanocystis,Fleshy,,Berry,,Knapp (2002),,
Physalis_microphysa,Fleshy,,Berry,,Knapp (2002),,
Quincula_lobata,Fleshy,,Berry,,Knapp (2002),,
Physalis_alkekengi,Fleshy,,Berry,,Knapp (2002),,
Physalis_carpenteri,Fleshy,,Berry,,Knapp (2002),,
Witheringia_meiantha,Fleshy,,Berry,,Knapp (2002),,
Witheringia_solanacea,Fleshy,,Berry,,Knapp (2002),,
Witheringia_macrantha,Fleshy,,Berry,,Knapp (2002),,
Brachistus_stramoniifolius,Fleshy,,Berry,,Knapp (2002),,
Leucophysalis_viscosa,Fleshy,,Berry,,Knapp (2002),,
