Species,Fruit_type,Notes,Reference,,
Lissanthe_brevistyla,Fleshy,"""Fleshy fruit""",Crayn et al. (2020),TRIBE STYPHELIEAE,
Lissanthe_rubicunda,Fleshy,"""Fleshy fruit""",Crayn et al. (2020),TRIBE STYPHELIEAE,
Leucopogon_pluriloculatus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Lissanthe_strigosa,Fleshy,"""Fleshy fruit""",Crayn et al. (2020),TRIBE STYPHELIEAE,
Lissanthe_sapida,Fleshy,"""Fleshy fruit""",Crayn et al. (2020),TRIBE STYPHELIEAE,
Acrothamnus_suaveolens,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin"" (Leucopogon)",Stevens (2004),TRIBE STYPHELIEAE,
Styphelia_laeta,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Acrothamnus_hookeri,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin"" (Leucopogon)",Stevens (2004),TRIBE STYPHELIEAE,
Acrothamnus_maccraei,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin"" (Leucopogon)",Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_parviflorus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Agiortia_pedicellata,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely"" (Styphelia)",Stevens (2004),TRIBE STYPHELIEAE,
Leptecophylla_abietina,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leptecophylla_juniperina_subsp_oxycedrus,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leptecophylla_divaricata,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leptecophylla_tameiameiae,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_lanceolatus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_margarodes,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_microphyllus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
