Species,Fruit_type,,
Marcetia_mucugensis,Dry,,
Marcetia_candolleana,Dry,,
Marcetia_velutina,Dry,,
Marcetia_bahiensis,Dry,,
Loricalepis_duckei,Dry,,
Pterolepis_alpestris,Dry,,
Pterolepis_glomerata,Dry,,
Pterolepis_polygonoides,Dry,,
Pterolepis_trichotoma,Dry,,
Pterolepis_repanda,Dry,,
Pterogastra_minor,Dry,,
Pterogastra_divaricata,Dry,,
Pterolepis_parnassifolia,Dry,,
Pterolepis_rotundifolia,Dry,,
Guyonia_antennina,Dry,,
Guyonia_seretii,Dry,,
Guyonia_arenaria,Dry,,
Guyonia_ciliata,Dry,,
Guyonia_jacquesii,Dry,,
Anaheterotis_pobeguinii,Dry,,
Dissotis_phaeotricha,Dry,,
Argyrella_bambutorum,Dry,,
Argyrella_amplexicaulis,Dry,,
Argyrella_canescens,Dry,,
Argyrella_richardsiae,Dry,,
Osbeckia_chinensis,Dry,,
Melastomastrum_porteresii,Dry,,
Melastomastrum_theifolium,Dry,,
Melastomastrum_afzelii,Dry,,
Melastomastrum_segregatum,Dry,,
Melastomastrum_capitatum,Dry,,
Tristemma_cornifolium,Dry,,
Tristemma_involucratum,Dry,,
Tristemma_demeusei,Dry,,
Tristemma_mauritianum,Dry,,
Tristemma_akeassii,Dry,,
Tristemma_coronatum,Dry,,
Tristemma_littorale,Dry,,
Tristemma_hirtum,Dry,,
Tristemma_vestitum,Dry,,
Tristemma_oreophilum,Dry,,
Dichaetanthera_erici,Dry,,
Dichaetanthera_strigosa,Dry,,
Dichaetanthera_africana,Dry,,
Dichaetanthera_asperrima,Dry,,
Dichaetanthera_arborea,Dry,,
Dichaetanthera_articulata,Dry,,
Dichaetanthera_oblongifolia,Dry,,
Dissotidendron_polyanthum,Dry,,
Dissotidendron_melleri,Dry,,
Dissotidendron_cordatum,Dry,,
Dissotidendron_caloneurum,Dry,,
Heterotis_cogniauxiana,Dry,,
Heterotis_rotundifolia,Dry,,
Heterotis_decumbens,Dry,,
Heterotis_buettnerana,Dry,,
Heterotis_prostrata,Dry,,
Osbeckia_australiana,Dry,,
Osbeckia_nepalensis,Dry,,
Osbeckia_aspera,Dry,,
