"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Fruit_type"
"76","Dracophyllum_pronum",5.632503,0.00199,1.2e-05,7.40273,0.13337,0.012449,6.964178,0.020381,0.002681,9.97057,0.096531,0.010485,"Dry"
"77","Dracophyllum_ramosum",5.691204,NA,0.000198,7.186144,NA,0.199182,NA,NA,Inf,NA,NA,Inf,"Dry"
"78","Dracophyllum_rosmarinifolium",5.62951,0.00366,1.4e-05,7.498272,0.159435,0.014227,6.925019,0.026524,0.003064,10.091088,0.10199,0.011983,"Dry"
"79","Dracophyllum_sayeri",5.671776,NA,0.000198,8.451481,NA,0.199182,7.288244,NA,0.042895,10.327676,NA,0.167764,"Dry"
"80","Dracophyllum_scoparium",5.646419,0.005369,6.6e-05,7.006659,0.068943,0.066394,6.794536,0.010078,0.021447,9.342439,0.04034,0.083882,"Dry"
"81","Dracophyllum_secundum",5.66681,0.002848,3.3e-05,6.835968,0.100814,0.033197,7.321404,0.033131,0.007149,8.781294,0.080086,0.027961,"Dry"
"82","Dracophyllum_strictum",5.65709,0.001471,2.2e-05,7.224243,0.099061,0.022131,7.025239,0.018693,0.004766,9.491853,0.050915,0.01864,"Dry"
"83","Dracophyllum_townsonii",5.653366,NA,0.000198,8.011023,NA,0.199182,6.942157,NA,0.042895,9.883387,NA,0.167764,"Dry"
"84","Dracophyllum_traversii",5.64586,0.00261,1.2e-05,7.762357,0.111729,0.011717,6.995591,0.014443,0.002523,9.95201,0.106326,0.009868,"Dry"
"86","Dracophyllum_verticillatum",5.688352,0.002423,4e-05,7.335,0.097969,0.039836,7.520971,0.032963,0.008579,9.269876,0.099332,0.033553,"Dry"
"87","Elliottia_bracteata",5.623648,0.002626,9e-06,7.495659,0.057253,0.009485,6.439086,0.069869,0.002043,10.209089,0.103724,0.007989,"Dry"
"88","Elliottia_racemosa",5.668407,0.006012,6.6e-05,7.004172,0.052736,0.066394,7.283419,0.071984,0.014298,8.987829,0.062556,0.055921,"Dry"
"89","Empetrum_eamesii",5.620627,0.001361,5e-06,7.015154,0.03288,0.004632,6.556499,0.021634,0.001159,9.741214,0.030045,0.004534,"Fleshy"
"90","Empetrum_nigrum",5.60956,0.000691,0,6.431929,0.020701,0.000204,6.419347,0.008916,4.7e-05,9.238908,0.017814,0.000184,"Fleshy"
"91","Enkianthus_campanulatus",5.641657,0.003298,1.1e-05,7.549963,0.054221,0.011066,6.781869,0.065139,0.002383,9.892413,0.085925,0.00932,"Dry"
"92","Enkianthus_cernuus",5.651149,0.001983,1.1e-05,7.774621,0.0754,0.011066,6.917745,0.038689,0.002383,10.021829,0.07353,0.00932,"Dry"
"93","Enkianthus_chinensis",5.665591,0.001461,3e-06,6.972325,0.050046,0.003213,7.052049,0.013224,0.000692,9.274243,0.03222,0.002706,"Dry"
"94","Enkianthus_perulatus",5.655866,0.003325,1.2e-05,7.486194,0.079727,0.012449,6.941602,0.069332,0.002681,9.798692,0.092733,0.010485,"Dry"
"95","Enkianthus_quinqueflorus",5.681557,0.001923,9e-06,7.31391,0.059226,0.009485,7.163488,0.017808,0.002043,9.386267,0.044854,0.007989,"Dry"
"96","Enkianthus_subsessilis",5.65561,0.004642,5e-05,7.347874,0.095972,0.049796,7.004484,0.04243,0.010724,9.451971,0.102692,0.041941,"Dry"
"97","Epacris_impressa",5.658388,0.000855,4e-06,6.757188,0.051326,0.003758,7.197745,0.023079,0.000932,8.768105,0.069172,0.003647,"Dry"
"98","Epacris_lanuginosa",5.653205,0.002282,1.1e-05,6.959322,0.08598,0.011066,7.033777,0.032836,0.002523,9.146184,0.112399,0.009868,"Dry"
"99","Erica_arborea",5.660683,0.000869,1e-06,6.593632,0.029399,0.001277,7.237907,0.014219,0.000279,8.51089,0.042756,0.001089,"Dry"
"100","Erica_azorica",5.644563,NA,0.000198,7.275172,NA,0.199182,7.32185,NA,0.042895,9.367686,NA,0.167764,"Dry"
"101","Erica_carnea",5.640305,0.002123,6e-06,6.824104,0.060171,0.005691,6.8048,0.024542,0.001226,9.316646,0.057012,0.004793,"Dry"
"102","Erica_cinerea",5.649166,0.000839,2e-06,6.872923,0.038799,0.002032,6.864821,0.025133,0.000452,9.171233,0.053342,0.001766,"Dry"
"103","Erica_discolor",5.663153,0.002627,2.5e-05,6.329615,0.166783,0.024898,7.408269,0.040162,0.005362,8.188298,0.189237,0.02097,"Dry"
"104","Erica_scoparia",5.65694,0.001063,3e-06,6.614831,0.03677,0.002729,7.167551,0.021569,0.000596,8.616041,0.05518,0.00233,"Dry"
"105","Erica_sicula",5.676922,0.001756,6.6e-05,6.106193,0.188764,0.066394,7.428788,0.12764,0.021447,7.565169,0.50041,0.083882,"Dry"
"106","Erica_tetralix",5.639014,0.000772,1e-06,6.794644,0.030911,0.001253,6.677708,0.014755,0.000286,9.324287,0.038625,0.001118,"Dry"
"107","Eubotrys_racemosa",5.667205,0.002147,7e-06,7.114336,0.020518,0.007114,7.264696,0.023878,0.001532,9.085888,0.023014,0.005992,"Dry"
"108","Eubotrys_recurva",5.646323,0.002604,6.6e-05,7.334423,0.034739,0.066394,7.083308,0.04201,0.014298,9.444856,0.035472,0.055921,"Dry"
"109","Gaultheria_antipoda",5.65043,0.002497,6e-06,7.348283,0.065687,0.006425,7.012354,0.015406,0.00143,9.618098,0.078522,0.005592,"Fleshy"
"110","Gaultheria_borneensis",5.668417,0.010874,2.8e-05,7.745357,0.072445,0.028455,6.974637,0.17521,0.006128,10.180637,0.288223,0.023966,"Fleshy"
"111","Gaultheria_cardiosepala",5.652723,0.00516,1.8e-05,6.694276,0.149128,0.018107,7.081089,0.056479,0.0039,9.027881,0.088521,0.015251,"Fleshy"
"112","Gaultheria_cuneata",5.655193,0.003796,2e-05,6.714594,0.118649,0.019918,6.981545,0.038594,0.004289,9.15974,0.061839,0.016776,"Fleshy"
"113","Gaultheria_dolichopoda",5.65344,0.014197,9.9e-05,7.076284,0.469634,0.099591,7.023492,0.170194,0.021447,9.340671,0.068765,0.083882,"Fleshy"
"114","Gaultheria_dumicola",5.656414,0.003182,5e-05,7.073381,0.123483,0.049796,7.046951,0.05323,0.010724,9.306507,0.04561,0.041941,"Fleshy"
"115","Gaultheria_fragrantissima",5.658513,0.002473,2e-05,6.817783,0.181674,0.019918,7.132675,0.022463,0.004289,9.156908,0.076021,0.016776,"Fleshy"
"116","Gaultheria_griffithiana",5.652427,0.004213,2.5e-05,6.900419,0.170827,0.024898,7.055609,0.041326,0.005362,9.11412,0.080731,0.02097,"Fleshy"
"117","Gaultheria_hookeri",5.658269,0.003457,1.2e-05,6.720558,0.121531,0.011717,7.066682,0.037302,0.002523,9.129302,0.0576,0.009868,"Fleshy"
"118","Gaultheria_hypochlora",5.650889,0.006326,9.9e-05,6.288673,0.106589,0.099591,7.078251,0.013492,0.021447,9.111976,0.185459,0.083882,"Fleshy"
"119","Gaultheria_leucocarpa",5.670622,0.001646,4e-06,7.415235,0.077157,0.00415,7.040826,0.026462,0.000894,9.599922,0.072024,0.003495,"Fleshy"
