"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Fruit_type"
"556","Solanum_orbiculatum",5.68442,0.000722,2e-06,5.535178,0.02333,0.002538,7.928824,0.012304,0.000259,6.826652,0.027684,0.003265,"Fleshy"
"557","Solanum_oxycarpum",5.657563,0.001047,6.5e-05,7.504377,0.09101,0.106586,7.160354,0.01437,0.010883,9.126361,5.4e-05,0.137117,"Fleshy"
"558","Solanum_oxyphyllum",5.691101,0.002163,9e-06,7.904916,0.114268,0.015227,7.144969,0.023027,0.001555,9.896817,0.130364,0.019588,"Fleshy"
"559","Solanum_palinacanthum",5.688106,0.000942,1e-06,7.087622,0.027135,0.001308,7.365194,0.009419,0.000134,8.905608,0.037087,0.001682,"Fleshy"
"560","Solanum_palitans",5.657449,0.002262,4e-06,6.375863,0.06875,0.00627,7.466462,0.015113,0.00064,7.911913,0.102856,0.008066,"Fleshy"
"561","Solanum_paludosum",5.699239,0.000621,2e-06,7.359619,0.052661,0.003331,7.374374,0.010585,0.00034,9.194501,0.051543,0.004285,"Fleshy"
"562","Solanum_palustre",5.647132,0.011769,4.4e-05,6.659835,0.437294,0.071057,7.102877,0.021058,0.007255,8.818806,0.417504,0.091411,"Fleshy"
"563","Solanum_panduriforme",5.682061,0.001824,8e-06,6.372334,0.069086,0.01254,7.644401,0.04034,0.00128,7.895534,0.099901,0.016131,"Fleshy"
"564","Solanum_paniculatum",5.693136,0.000559,1e-06,7.084208,0.025108,0.001025,7.346157,0.008036,0.000105,8.95891,0.028846,0.001325,"Fleshy"
"565","Solanum_papaverifolium",5.674543,0.001054,9e-06,6.500142,0.051729,0.015227,7.533726,0.017479,0.001555,8.246345,0.055807,0.019588,"Fleshy"
"566","Solanum_paposanum",5.653707,0.007075,2.2e-05,4.626716,0.462738,0.035529,7.457902,0.039729,0.003628,6.258582,0.623217,0.045706,"Fleshy"
"567","Solanum_paraibanum",5.697207,0.001486,1.9e-05,7.276597,0.161635,0.030453,7.373706,0.015809,0.003109,9.061594,0.145696,0.039176,"Fleshy"
"568","Solanum_pectinatum",5.692971,0.002306,5e-06,7.785441,0.076078,0.007895,7.285421,0.030748,0.000806,9.701469,0.087397,0.010157,"Fleshy"
"569","Solanum_pedemontanum",5.694151,0.001467,4e-06,7.853398,0.054286,0.006877,7.090847,0.008674,0.000702,9.940742,0.064542,0.008846,"Fleshy"
"570","Solanum_pendulum",5.691776,0.003585,1e-05,7.374641,0.064835,0.016398,7.179854,0.017308,0.001674,9.513099,0.074433,0.021095,"Fleshy"
"571","Solanum_pennellii",5.679381,0.005034,1.1e-05,4.614282,0.237154,0.017764,7.347313,0.022765,0.001814,5.481252,0.551187,0.022853,"Fleshy"
"572","Solanum_peruvianum",5.67547,0.00369,5e-06,4.608313,0.25603,0.007613,7.335339,0.027679,0.000777,6.228123,0.307503,0.009794,"Fleshy"
"573","Solanum_petraeum",5.704947,0.000891,3.3e-05,7.111349,0.100085,0.053293,7.818603,0.012324,0.005442,8.530975,0.058712,0.068558,"Dry"
"574","Solanum_phaseoloides",5.678627,0.006178,2.6e-05,8.068871,0.092236,0.042634,7.270292,0.065099,0.004353,9.908713,0.113816,0.054847,"Fleshy"
"575","Solanum_phlomoides",5.700644,0.000842,5e-06,5.739509,0.041658,0.008882,8.040543,0.00558,0.000907,6.956661,0.030333,0.011426,"Fleshy"
"576","Solanum_physalifolium",5.645214,0.00113,1e-06,6.456041,0.052997,0.002244,6.989667,0.033211,0.000232,8.700352,0.073249,0.002917,"Fleshy"
"577","Solanum_pimpinellifolium",5.681883,0.003722,4e-06,5.70373,0.223266,0.006091,7.208956,0.025219,0.000605,7.417379,0.311449,0.007618,"Fleshy"
"578","Solanum_pinnatisectum",5.674991,0.002695,2.6e-05,6.571746,0.083134,0.042634,7.542279,0.01843,0.004353,8.256501,0.10152,0.054847,"Fleshy"
"579","Solanum_pluviale",5.669708,NA,0.000131,8.075583,NA,0.213172,7.098376,NA,0.021766,10.109892,NA,0.274234,"Fleshy"
"580","Solanum_poinsettiifolium",5.693828,0.002977,1.5e-05,7.41635,0.121287,0.023686,7.34585,0.026287,0.002418,9.292549,0.124832,0.03047,"Fleshy"
"581","Solanum_polyadenium",5.671231,0.003359,1e-05,6.694539,0.128565,0.016398,7.439544,0.030422,0.001674,8.484298,0.140915,0.021095,"Fleshy"
"582","Solanum_prinophyllum",5.666605,0.001426,5e-06,6.962911,0.06059,0.008882,7.311647,0.018087,0.000946,8.867077,0.057358,0.011923,"Fleshy"
"583","Solanum_proteanthum",5.697185,0.000714,5e-06,7.477265,0.046877,0.007351,7.257161,0.02363,0.000751,9.415946,0.066124,0.009456,"Fleshy"
"584","Solanum_pseudolulo",5.689564,0.002747,8e-06,7.725258,0.099491,0.013323,7.270577,0.03455,0.00136,9.746727,0.102918,0.01714,"Fleshy"
"585","Solanum_pubigerum",5.668187,0.003072,4e-06,6.823922,0.080208,0.00646,7.450269,0.021189,0.00066,8.591476,0.085103,0.00831,"Fleshy"
"586","Solanum_pungetium",5.663148,0.002329,9e-06,6.81563,0.04558,0.015227,7.271987,0.025222,0.001555,8.799036,0.038974,0.019588,"Fleshy"
"587","Solanum_pyracanthos",5.687664,0.002984,1.6e-05,6.671697,0.08144,0.026646,7.612952,0.040974,0.002721,8.175426,0.136176,0.034279,"Fleshy"
"588","Solanum_quitoense",5.680195,0.001812,3e-06,7.665778,0.075778,0.004957,7.207746,0.02192,0.000506,9.609999,0.075437,0.006378,"Fleshy"
"589","Solanum_raphanifolium",5.647388,NA,0.000131,6.018593,NA,0.213172,7.282074,NA,0.021766,8.523772,NA,0.274234,"Fleshy"
"590","Solanum_reductum",5.676649,0.00341,1.2e-05,6.553253,0.085967,0.019379,7.493175,0.019569,0.001979,8.163819,0.129407,0.02493,"Fleshy"
"591","Solanum_refractum",5.689266,0.00178,4e-06,6.840043,0.039047,0.007106,7.515859,0.009089,0.000726,8.584406,0.037324,0.009141,"Fleshy"
"592","Solanum_retroflexum",5.66819,0.001725,4e-06,6.22267,0.082339,0.005761,7.51828,0.021171,0.000588,7.915478,0.096195,0.007412,"Fleshy"
"593","Solanum_rhytidoandrum",5.69709,0.000693,2e-06,7.151949,0.046804,0.002538,7.362661,0.012325,0.000259,8.987474,0.054991,0.003265,"Fleshy"
"594","Solanum_rigescentoides",5.682827,0.002468,2.2e-05,5.128276,0.353293,0.035529,7.778392,0.014384,0.003628,6.718656,0.260746,0.045706,"Fleshy"
"595","Solanum_riojense",5.638729,0.007287,1.9e-05,5.721753,0.356769,0.030453,7.544879,0.028162,0.003109,7.125165,0.24637,0.039176,"Fleshy"
"596","Solanum_rixosum",5.668843,0.001129,2.2e-05,7.017319,0.109997,0.035529,7.38517,0.022786,0.003628,8.838355,0.132438,0.045706,"Fleshy"
"597","Solanum_robustum",5.685031,0.00091,3e-06,7.283396,0.027855,0.004737,7.30412,0.020331,0.000484,9.160911,0.031164,0.006094,"Fleshy"
"598","Solanum_roseum",5.669593,0.004814,2.6e-05,7.229753,0.111137,0.042634,7.242422,0.03596,0.004353,9.196698,0.030665,0.054847,"Fleshy"
"599","Solanum_rovirosanum",5.69389,0.003119,1.3e-05,8.009389,0.103769,0.021317,7.409921,0.023614,0.002177,9.759876,0.080051,0.027423,"Fleshy"
"600","Solanum_rugosum",5.696271,0.000604,1e-06,7.71981,0.02627,0.001276,7.306718,0.009299,0.00013,9.601531,0.026944,0.001642,"Fleshy"
"601","Solanum_rupincola",5.6922,0.001782,1.2e-05,7.238857,0.087398,0.019379,7.23676,0.013359,0.002177,9.165722,0.087361,0.027423,"Fleshy"
"602","Solanum_sandwicense",5.684057,0.008159,6.5e-05,7.345783,0.394011,0.106586,7.376299,0.206949,0.010883,8.931837,0.350731,0.137117,"Fleshy"
"603","Solanum_savanillense",5.651612,NA,0.000131,7.030857,NA,0.213172,6.991177,NA,0.021766,9.258845,NA,0.274234,"Fleshy"
"604","Solanum_schenckii",5.658384,0.005934,3.3e-05,6.941092,0.237504,0.053293,7.327416,0.078053,0.005442,8.675717,0.246922,0.068558,"Fleshy"
"605","Solanum_schimperianum",5.678365,0.002793,9e-06,6.168383,0.236648,0.015227,7.654287,0.035726,0.001555,7.723541,0.241961,0.019588,"Fleshy"
"606","Solanum_schlechtendalianum",5.69243,0.000649,1e-06,7.608655,0.024587,0.000896,7.319561,0.008622,9.2e-05,9.497184,0.029494,0.001157,"Fleshy"
"607","Solanum_sejunctum",5.704615,NA,0.000131,7.382124,NA,0.213172,7.724888,NA,0.021766,8.761707,NA,0.274234,"Dry"
"608","Solanum_semiarmatum",5.680482,0.001232,5e-06,6.550313,0.040104,0.008199,7.582579,0.017332,0.000837,8.183546,0.06118,0.010547,"Fleshy"
"609","Solanum_sendtnerianum",5.700318,0.000666,9e-06,7.774432,0.032203,0.014211,7.245167,0.015609,0.001451,9.742407,0.020653,0.018282,"Fleshy"
"610","Solanum_serpens",5.6666,NA,0.000131,7.352441,NA,0.213172,7.302496,NA,0.021766,9.30783,NA,0.274234,"Fleshy"
"611","Solanum_sessiliflorum",5.693817,0.000879,2e-06,7.883185,0.047993,0.00292,7.207348,0.015111,0.000302,9.882256,0.043577,0.003809,"Fleshy"
"612","Solanum_simile",5.668251,0.000634,3e-06,5.983188,0.045819,0.004099,7.555549,0.020736,0.000419,7.649548,0.065905,0.005274,"Fleshy"
"613","Solanum_sisymbriifolium",5.681116,0.000968,1e-06,7.111765,0.025274,0.000877,7.336525,0.009577,9e-05,8.950035,0.035331,0.001129,"Fleshy"
"614","Solanum_sitiens",5.644917,NA,0.000131,2.944439,NA,0.213172,7.7012,NA,0.021766,4.442651,NA,0.274234,"Dry"
"615","Solanum_stellativelutinum",5.656167,NA,0.000131,6.867974,NA,0.213172,7.326466,NA,0.021766,8.628556,NA,0.274234,"Fleshy"
"616","Solanum_stelligerum",5.675864,0.0013,3e-06,6.883897,0.043409,0.005329,7.451681,0.018133,0.000544,8.651805,0.057065,0.006856,"Fleshy"
"617","Solanum_stenandrum",5.687071,0.001382,5e-06,6.897772,0.058288,0.007613,7.318333,0.016899,0.000777,8.798008,0.060934,0.009794,"Fleshy"
"618","Solanum_stenophyllidium",5.673011,0.002172,1.1e-05,6.366663,0.10757,0.017764,7.569231,0.018482,0.001814,8.002432,0.097446,0.022853,"Fleshy"
"619","Solanum_stoloniferum",5.663104,0.001504,2e-06,6.534015,0.060204,0.00328,7.522127,0.014492,0.000335,8.209943,0.063412,0.004219,"Fleshy"
"620","Solanum_stuckertii",5.670435,0.002974,7e-06,6.517542,0.068858,0.010659,7.485221,0.020481,0.001088,8.161304,0.0935,0.013712,"Fleshy"
"621","Solanum_stupefactum",5.673839,NA,0.000131,6.55108,NA,0.213172,7.49887,NA,0.021766,8.311153,NA,0.274234,"Fleshy"
"622","Solanum_subinerme",5.697435,0.000581,1e-06,7.639489,0.025817,0.001152,7.311277,0.009087,0.000118,9.531203,0.028116,0.001482,"Fleshy"
"623","Solanum_supinum",5.678505,0.002727,1.2e-05,6.081998,0.117953,0.019379,7.762851,0.044758,0.001979,7.552521,0.14695,0.02493,"Fleshy"
"624","Solanum_symonii",5.672029,0.000764,3e-06,6.115002,0.070138,0.005466,7.565255,0.023992,0.000605,7.724851,0.096142,0.007618,"Fleshy"
"625","Solanum_taeniotrichum",5.632107,NA,0.000131,8.290293,NA,0.213172,6.990257,NA,0.021766,9.848186,NA,0.274234,"Fleshy"
