"","species","temp","se_temp","within_sp_var_temp","prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Dispersal_mode"
"841","Microlicia_amblysepala",5.681366,NA,7.7e-05,6.879356,NA,0.106405,7.344719,NA,0.012312,8.738255,NA,0.117268,"Abiotic"
"842","Microlicia_confertiflora",5.676239,7e-04,1.9e-05,7.25888,0.07611,0.026601,7.171657,0.029799,0.003078,9.302107,0.114445,0.029317,"Abiotic"
"843","Microlicia_fulva",5.682309,0.001479,3e-06,7.289531,0.035743,0.004093,7.254608,0.016149,0.000474,9.234053,0.041131,0.00451,"Abiotic"
"844","Microlicia_glazioviana",5.670398,NA,7.7e-05,7.385851,NA,0.106405,7.085064,NA,0.012312,9.542015,NA,0.117268,"Abiotic"
"845","Microlicia_graveolens",5.677865,0.000744,1.9e-05,7.219361,0.069102,0.026601,7.178753,0.040562,0.003078,9.250578,0.127147,0.029317,"Abiotic"
"846","Microlicia_isophylla",5.677598,0.00135,6e-06,7.301984,0.025979,0.0076,7.169904,0.021344,0.000879,9.352763,0.041434,0.008376,"Abiotic"
"847","Microlicia_minima",5.674525,NA,7.7e-05,6.873164,NA,0.106405,7.301148,NA,0.012312,8.880307,NA,0.117268,"Abiotic"
"848","Microlicia_tomentella",5.676582,0.000713,2.6e-05,7.29345,0.021786,0.035468,7.189413,0.002479,0.004104,9.275917,0.041868,0.039089,"Abiotic"
"849","Monochaetum_bonplandii",5.668847,0.004132,4e-06,7.35537,0.086905,0.005067,7.218124,0.029914,0.000586,9.308908,0.088119,0.005584,"Abiotic"
"850","Monochaetum_calcaratum",5.673366,0.005062,7e-06,7.025889,0.054249,0.009673,7.458534,0.022059,0.001119,8.704869,0.063198,0.010661,"Abiotic"
"851","Monochaetum_discolor",5.655117,NA,7.7e-05,6.646391,NA,0.106405,7.304516,NA,0.012312,8.761707,NA,0.117268,"Abiotic"
"852","Monochaetum_floribundum",5.674878,0.002166,2e-06,7.491541,0.058355,0.002533,7.323217,0.025159,0.000293,9.319491,0.06871,0.002792,"Abiotic"
"853","Monochaetum_lineatum",5.668656,0.00215,2e-06,7.296135,0.081316,0.003325,7.11311,0.019045,0.000385,9.337445,0.073631,0.003665,"Abiotic"
"854","Monochaetum_meridense",5.659293,0.006514,9e-06,7.341354,0.109849,0.011823,7.131216,0.047551,0.001368,9.344103,0.111061,0.01303,"Abiotic"
"855","Monochaetum_polyneurum",5.666326,0.005721,1.5e-05,7.100789,0.068203,0.021281,7.168844,0.026504,0.002462,9.221515,0.092312,0.023454,"Abiotic"
"856","Monochaetum_tenellum",5.660527,0.000522,3.9e-05,7.180853,0.054766,0.053203,7.311797,0.013352,0.006156,9.255045,0.007698,0.058634,"Abiotic"
"857","Monochaetum_uribei",5.673839,NA,7.7e-05,7.683864,NA,0.106405,7.26333,NA,0.012312,9.309914,NA,0.117268,"Abiotic"
"858","Monochaetum_vulcanicum",5.674525,NA,7.7e-05,8.039157,NA,0.106405,7.293698,NA,0.012312,9.895556,NA,0.117268,"Abiotic"
"859","Monolena_primuliflora",5.69109,0.001297,1e-06,7.943075,0.062706,0.002046,7.171021,0.01554,0.000237,9.931219,0.059683,0.002255,"Abiotic"
"860","Mouriri_collocarpa",5.702789,6e-04,3e-06,7.707498,0.034453,0.0038,7.301095,0.014548,0.00044,9.601199,0.033106,0.004188,"Biotic"
"861","Mouriri_crassifolia",5.701945,0.000654,6e-06,7.805419,0.05706,0.008867,7.361557,0.028432,0.001026,9.64699,0.057956,0.009772,"Biotic"
"862","Mouriri_cyphocarpa",5.697993,0.001814,1.5e-05,8.026748,0.127886,0.021281,7.423813,0.025445,0.002462,9.723139,0.099123,0.023454,"Biotic"
"863","Mouriri_dumetosa",5.70228,0.000894,1.9e-05,7.963739,0.08961,0.026601,7.281328,0.039114,0.003078,9.895517,0.046981,0.029317,"Biotic"
"864","Mouriri_gleasoniana",5.696665,0.001061,3e-06,7.860813,0.060504,0.004626,7.441837,0.011387,0.00056,9.564138,0.075557,0.00533,"Biotic"
"865","Mouriri_guianensis",5.700151,0.000548,1e-06,7.430403,0.034456,0.000994,7.340027,0.011915,0.000118,9.323888,0.042604,0.001128,"Biotic"
"866","Mouriri_myrtilloides",5.701501,0.001114,2.6e-05,7.846852,0.163558,0.035468,7.456014,0.020935,0.004104,9.702414,0.089996,0.039089,"Biotic"
"867","Mouriri_nervosa",5.700784,0.000844,3e-06,7.67771,0.03969,0.004434,7.26256,0.01816,0.000513,9.621241,0.039319,0.004886,"Biotic"
