"","(1,R1)","(2,R1)"
"387",0.999986931388972,1.30686110283242e-05
"388",0.99999073619325,9.26380674975084e-06
"389",0.999993380347539,6.61965246135035e-06
"390",0.999997591154923,2.40884507650086e-06
"391",0.999999031019284,9.68980716187722e-07
"392",0.999999039239902,9.60760098113538e-07
"393",0.999999699182861,3.00817139037976e-07
"394",0.999999965974758,3.40252421009077e-08
"395",0.99999998204622,1.79537795196538e-08
"396",0.999999999973709,2.62910189168642e-11
"397",0.999999987519164,1.24808356986265e-08
"398",0.999998484474425,1.51552557468487e-06
"399",0.99999982963341,1.70366589490033e-07
"400",0.999999843968528,1.56031471965579e-07
"401",0.999999953645546,4.63544543226488e-08
"402",0.999998972282539,1.02771746105094e-06
"403",0.999999986955776,1.30442241951776e-08
"404",0.999999990590526,9.40947400460755e-09
"405",0.999999318932309,6.81067690602137e-07
"406",0.999953822277899,4.61777221012357e-05
"407",0.999988112534396,1.18874656040357e-05
"408",0.999999488765485,5.11234514702571e-07
"409",0.999996905871528,3.09412847245363e-06
"410",0.999996966421617,3.03357838261271e-06
"411",0.999999030699881,9.69300118673502e-07
"412",0.999998967687174,1.03231282630425e-06
"413",0.999989934442513,1.00655574873404e-05
"414",0.999996681444085,3.31855591449891e-06
"415",0.999997322527951,2.67747204902163e-06
"416",0.99999776338192,2.23661807946125e-06
"417",0.999997821026465,2.17897353509331e-06
"418",0.999998669093591,1.3309064089975e-06
"419",0.999999489019364,5.10980636475931e-07
"420",0.999999778526435,2.21473565014932e-07
"421",0.999993243875162,6.7561248378232e-06
"422",0.9999964102921,3.5897079002901e-06
"423",0.999987050885445,1.29491145546717e-05
"424",0.999991871910685,8.12808931512262e-06
"425",0.999656748793568,0.000343251206431988
"426",0.999852704290772,0.000147295709227639
"427",0.99997372748933,2.62725106694702e-05
"428",0.999991676227237,8.32377276275781e-06
"429",0.999993932878421,6.06712157928963e-06
"430",0.999999999038456,9.61544213718322e-10
"431",0.999999119005376,8.80994624245168e-07
"432",0.9999920005839,7.99941610014923e-06
"433",0.99999926283498,7.37165020382548e-07
"434",0.999999485714048,5.14285952427986e-07
"435",0.999999948471527,5.1528472698319e-08
"436",0.999999963807171,3.61928286520217e-08
"437",0.999999967029307,3.29706927702299e-08
"438",0.999999968411263,3.15887374306463e-08
"439",0.999999967956735,3.20432648637238e-08
"440",0.999999882712758,1.17287241849264e-07
"441",0.999999897495613,1.02504387426185e-07
"442",0.999999876694746,1.2330525342235e-07
"443",0.99999710576383,2.89423617036425e-06
"444",0.999997187305875,2.81269412539438e-06
"445",0.999999077309041,9.22690958317583e-07
"446",0.999999338283815,6.61716184868981e-07
"447",0.999999848888426,1.51111573718797e-07
"448",0.99999994794127,5.20587300702809e-08
"449",0.999999950255086,4.97449138099978e-08
"450",0.99999995057698,4.94230195948392e-08
"451",0.999999917830537,8.21694632551801e-08
"452",0.999999934693247,6.53067529030498e-08
"453",0.99999925791547,7.42084530206791e-07
"454",0.999997450057397,2.549942602954e-06
"455",0.999998786417018,1.21358298189138e-06
"456",0.999999410323143,5.89676856517295e-07
"457",0.999937172312928,6.2827687071864e-05
