"","Clade","ObsSt","Alpha","Sigma","Optim"
"Rhododendron_arizelum","Ericaceae","Abiotic",0.0633721452822398,6.8327414754571e-05,5.65523581665306
"Rhododendron_forrestii","Ericaceae","Abiotic",0.0634025700025209,6.85062511982507e-05,5.65048239243279
"Rhododendron_thomsonii","Ericaceae","Abiotic",0.0633958830245537,6.85908388849378e-05,5.65043319734082
"Rhododendron_beesianum","Ericaceae","Abiotic",0.0633721438819493,6.83264866817367e-05,5.65523588378692
"Rhododendron_auriculatum","Ericaceae","Abiotic",0.0634026018830213,6.83728081871987e-05,5.65048532936364
"Rhododendron_williamsianum","Ericaceae","Abiotic",0.0633958960426123,6.8499479191881e-05,5.65043627103772
"Rhododendron_wardii","Ericaceae","Abiotic",0.0633721109488504,6.86134778273537e-05,5.65522285500897
"Rhododendron_glischrum","Ericaceae","Abiotic",0.0634024881551281,6.88310044714421e-05,5.65047534224059
"Rhododendron_anthosphaerum","Ericaceae","Abiotic",0.0633957854523124,6.91711520946967e-05,5.65041398732327
"Rhododendron_lukiangense","Ericaceae","Abiotic",0.063372056602884,6.90406122342818e-05,5.65520364135459
"Rhododendron_arboreum","Ericaceae","Abiotic",0.063402348067203,6.93333983284693e-05,5.65046473794105
"Rhododendron_fortunei","Ericaceae","Abiotic",0.0633957378609162,6.94179087728013e-05,5.65040580474
"Rhododendron_vernicosum","Ericaceae","Abiotic",0.0633718933640883,7.03010465040083e-05,5.65514690077088
"Rhododendron_smirnowii","Ericaceae","Abiotic",0.0634019971161938,7.06732289907002e-05,5.65043652851257
"Rhododendron_ponticum","Ericaceae","Abiotic",0.0633956175174108,7.00691238937245e-05,5.65038429823653
"Rhododendron_maximum","Ericaceae","Abiotic",0.0633719264345203,6.99390655247732e-05,5.65516317417077
"Rhododendron_calophytum","Ericaceae","Abiotic",0.0634021931366432,6.98784519820944e-05,5.65045318279468
"Rhododendron_catawbiense","Ericaceae","Abiotic",0.0633956336224001,6.9962911423598e-05,5.65038781955783
"Rhododendron_atlanticum","Ericaceae","Abiotic",0.0633718420211533,7.06018038291076e-05,5.65513348351842
"Rhododendron_canadense","Ericaceae","Abiotic",0.0634019927744136,7.06471174087935e-05,5.65043708226959
"Rhododendron_groenlandicum","Ericaceae","Abiotic",0.0633955322559262,7.05255353937054e-05,5.65036935794507
"Rhododendron_tomentosum","Ericaceae","Abiotic",0.0633718605052465,7.03957234941158e-05,5.65514271670838
"Rhododendron_keleticum","Ericaceae","Abiotic",0.0634024761579144,6.87936816898024e-05,5.65047639491347
"Rhododendron_impeditum","Ericaceae","Abiotic",0.0633958160821395,6.88782423093643e-05,5.65042378741106
"Rhododendron_telmateium","Ericaceae","Abiotic",0.063372054824588,6.89217484440215e-05,5.65520901818894
"Rhododendron_lapponicum","Ericaceae","Abiotic",0.0634023544326902,6.9282002824714e-05,5.6504657856948
"Rhododendron_tapetiforme","Ericaceae","Abiotic",0.0633957322373725,6.94089500337534e-05,5.65040617764509
"Rhododendron_hippophaeoides","Ericaceae","Abiotic",0.0633720134412688,6.92785383447388e-05,5.6551929625834
"Rhododendron_yunnanense","Ericaceae","Abiotic",0.0634023342678514,6.93502701832022e-05,5.6504645223051
"Rhododendron_rubiginosum","Ericaceae","Abiotic",0.063395725857782,6.94347788203046e-05,5.65040536126272
"Rhododendron_racemosum","Ericaceae","Abiotic",0.0633719743044581,6.9595657295826e-05,5.65517860807923
"Rhododendron_zaleucum","Ericaceae","Abiotic",0.0634022049564626,6.98709917049261e-05,5.65045325874729
"Rhododendron_monanthum","Ericaceae","Abiotic",0.0633957549565207,6.92607133539937e-05,5.65041108078129
"Rhododendron_xanthostephanum","Ericaceae","Abiotic",0.0633720299277992,6.91302222043644e-05,5.65519964443072
"Rhododendron_edgeworthii","Ericaceae","Abiotic",0.0634023369350341,6.93480988190657e-05,5.65046445031943
"Rhododendron_lepidotum","Ericaceae","Abiotic",0.0633956717927084,6.97899601635193e-05,5.65039350271122
"Rhododendron_fragariiflorum","Ericaceae","Abiotic",0.0633719689495027,6.96597518604815e-05,5.65517573489218
"Rhododendron_mucronulatum","Ericaceae","Abiotic",0.0634020938978841,7.03273104390292e-05,5.6504436713625
"Rhododendron_hirsutum","Ericaceae","Abiotic",0.0633956424132286,6.99777526358361e-05,5.65038754824449
"Rhododendron_ferrugineum","Ericaceae","Abiotic",0.0633719477012805,6.98476479994646e-05,5.65516745986636
"Rhododendron_vaccinioides","Ericaceae","Abiotic",0.0634019269054598,7.09048027785369e-05,5.6504318395574
"Rhododendron_oldhamii","Ericaceae","Abiotic",0.0633956838248124,6.95917815820169e-05,5.65040023343477
"Rhododendron_indicum","Ericaceae","Abiotic",0.0633719728111452,6.94614691124943e-05,5.65518479736316
"Rhododendron_tsusiophyllum","Ericaceae","Abiotic",0.0634021327954183,7.00890039189675e-05,5.65044871697075
"Rhododendron_mariesii","Ericaceae","Abiotic",0.063395570637863,7.03262453727072e-05,5.6503761404974
"Rhododendron_farrerae","Ericaceae","Abiotic",0.0633718906844518,7.01963288952179e-05,5.6551518402176
"Elliottia_racemosa","Ericaceae","Abiotic",0.0634019456395564,7.08333688621841e-05,5.65043327752979
"Rhododendron_albiflorum","Ericaceae","Abiotic",0.0633954754651028,7.09177384161705e-05,5.65035658198118
"Menziesia_ciliicalyx","Ericaceae","Abiotic",0.0633718240224362,7.07591081919569e-05,5.65512647672447
"Menziesia_pilosa","Ericaceae","Abiotic",0.0634019532766786,7.08043512441614e-05,5.65043386472987
"Rhododendron_leptothrium","Ericaceae","Abiotic",0.0633956048204487,7.00650825661138e-05,5.65038466002428
"Rhododendron_ovatum","Ericaceae","Abiotic",0.0633719137836894,6.9935024785296e-05,5.65516352279327
"Rhododendron_championiae","Ericaceae","Abiotic",0.0634023050815512,6.93757182467295e-05,5.65046423542576
"Rhododendron_henryi","Ericaceae","Abiotic",0.0633956994478604,6.94602240904317e-05,5.65040472221345
"Rhododendron_moulmainense","Ericaceae","Abiotic",0.0633719425306378,6.967046933197e-05,5.65517537585261
"Diplarche_multiflora","Ericaceae","Abiotic",0.063401958291794,7.07673948907617e-05,5.65043460839168
"Empetrum_nigrum","Ericaceae","Biotic",0.0686285939501859,3.4469078012816e-05,5.66331797607421
"Empetrum_eamesii","Ericaceae","Biotic",0.0686078430379276,3.43474087897876e-05,5.66759311723538
"Empetrum_hermaphroditum","Ericaceae","Biotic",0.0686363878802302,3.43966055320441e-05,5.66307341875586
"Empetrum_rubrum","Ericaceae","Biotic",0.068628554281253,3.44693423071479e-05,5.66331472452151
"Empetrum_atropurpureum","Ericaceae","Biotic",0.0686077422745806,3.43479528202847e-05,5.66758096914112
"Corema_conradii","Ericaceae","Biotic",0.0686362708682634,3.43970069785422e-05,5.66306428021224
"Ceratiola_ericoides","Ericaceae","Biotic",0.0686284619698578,3.44694330492973e-05,5.66331057953094
