"","Clade","ObsSt","Alpha","Sigma","Optim"
"Potentilla_alba","Rosaceae","Abiotic",0.645227765898105,0.144020416766441,7.02285714249599
"Potentilla_caulescens","Rosaceae","Abiotic",0.645227539779668,0.144010155133801,7.02322445131028
"Fallugia_paradoxa","Rosaceae","Abiotic",0.645224456126597,0.143860913829119,7.02786525593022
"Sieversia_pusilla","Rosaceae","Abiotic",0.645226058974011,0.143934164069573,7.02540541134354
"Geum_pentapetalum","Rosaceae","Abiotic",0.645226058974011,0.143934164069573,7.02540541134354
"Geum_glaciale","Rosaceae","Abiotic",0.645226152164029,0.143944748932672,7.0254157156465
"Geum_bulgaricum","Rosaceae","Abiotic",0.645226252529154,0.143949447964754,7.02526196946905
"Geum_andicola","Rosaceae","Abiotic",0.645226252529154,0.143949447964754,7.02526196946905
"Geum_vernum","Rosaceae","Abiotic",0.645225753254965,0.143923569903937,7.02595911561238
"Geum_chiloense","Rosaceae","Abiotic",0.645225970962293,0.143934838249255,7.0256560374273
"Geum_macrophyllum","Rosaceae","Abiotic",0.645225970962293,0.143934838249255,7.0256560374273
"Geum_reptans","Rosaceae","Abiotic",0.645225843255382,0.143928297197851,7.02583377712234
"Geum_montanum","Rosaceae","Abiotic",0.64522770132036,0.144017739621531,7.02296190502003
"Geum_canadense","Rosaceae","Abiotic",0.645227849543815,0.144024254396449,7.02272526161236
"Geum_urbanum","Rosaceae","Abiotic",0.645227849543815,0.144024254396449,7.02272526161236
"Geum_rivale","Rosaceae","Abiotic",0.645227709891459,0.144018115073478,7.02294728602542
"Geum_geniculatum","Rosaceae","Abiotic",0.645227631275384,0.144014751981268,7.02308745655932
"Geum_speciosum","Rosaceae","Abiotic",0.645225864600108,0.143929446083278,7.02580467282385
"Geum_aleppicum","Rosaceae","Abiotic",0.645225864600108,0.143929446083278,7.02580467282385
"Geum_rossii","Rosaceae","Abiotic",0.645227146521218,0.143990536944111,7.02384568344689
"Geum_triflorum","Rosaceae","Abiotic",0.645227146521218,0.143990536944111,7.02384568344689
"Coluria_elegans","Rosaceae","Abiotic",0.645226605126146,0.143966209322706,7.02471593506111
"Coluria_geoides","Rosaceae","Abiotic",0.645226605126146,0.143966209322706,7.02471593506111
"Acomastylis_elata","Rosaceae","Abiotic",0.645226038866443,0.143938694831744,7.02556595762861
"Geum_sikkimense","Rosaceae","Abiotic",0.645225845361117,0.143928403465393,7.0258309155106
"Geum_heterocarpum","Rosaceae","Abiotic",0.645225705925234,0.143921110122471,7.02602570274146
"Geum_calthifolium","Rosaceae","Abiotic",0.645225629800852,0.14391712903458,7.02613227682386
"Taihangia_rupestris","Rosaceae","Abiotic",0.645226509655571,0.143962613581941,7.02489103943418
"Geum_fragarioides","Rosaceae","Abiotic",0.645226617215115,0.143967717675477,7.02472646825741
"Geum_waldsteiniae","Rosaceae","Abiotic",0.645226738715325,0.143973585352985,7.02454291393127
"Geum_leiospermum","Rosaceae","Abiotic",0.645227312676361,0.143999718031058,7.02361073873351
"Geum_cockaynei","Rosaceae","Abiotic",0.645227312676361,0.143999718031058,7.02361073873351
"Rubus_lasiostylus","Rosaceae","Biotic",0.645186412618401,0.089518679343784,7.07607082016635
"Rubus_innominatus","Rosaceae","Biotic",0.645186444467077,0.0895190461657152,7.07606828512521
"Rubus_pungens","Rosaceae","Biotic",0.645186444467077,0.0895190461657152,7.07606828512521
"Rubus_acaulis","Rosaceae","Biotic",0.645185601320002,0.089526641604106,7.0761147794252
"Rubus_subtibetanus","Rosaceae","Biotic",0.64518870395163,0.0895655261311661,7.07585886447196
"Rubus_coreanus","Rosaceae","Biotic",0.645188753133931,0.0895661135342283,7.07585487718509
"Rubus_inopertus","Rosaceae","Biotic",0.645188774309277,0.089566366824416,7.07585316854077
"Rubus_mesogaeus","Rosaceae","Biotic",0.645189017193673,0.0895692649618296,7.07583377100413
"Rubus_parvifolius","Rosaceae","Biotic",0.645189017193673,0.0895692649618296,7.07583377100413
"Rubus_subinopertus","Rosaceae","Biotic",0.645188018690511,0.0895573016834542,7.0759147009543
"Rubus_idaeus","Rosaceae","Biotic",0.645186901836538,0.0895435398498293,7.07600750071914
"Rubus_phoenicolasius","Rosaceae","Biotic",0.645186901836538,0.0895435398498293,7.07600750071914
"Rubus_stans","Rosaceae","Biotic",0.64518555452538,0.0895260076482889,7.07611870300109
