"","Clade","ObsSt","Alpha","Sigma","Optim"
"Calycogonium_ekmanii","Melastomataceae","Biotic",0.181988095569691,5.8531701458202e-05,5.69054844745681
"Miconia_moensis","Melastomataceae","Biotic",0.181988095569691,5.85314689725378e-05,5.69054852110298
"Calycogonium_microphyllum","Melastomataceae","Biotic",0.181988095569691,5.85358625091372e-05,5.69054739970002
"Calycogonium_lanceolatum","Melastomataceae","Biotic",0.181988095569691,5.85358625091372e-05,5.69054739970002
"Calycogonium_glabratum","Melastomataceae","Biotic",0.181988095569691,5.85354712362749e-05,5.69054750030481
"Calycogonium_rhamnoideum","Melastomataceae","Biotic",0.181988095569691,5.85357460968676e-05,5.690547429484
"Miconia_yunquensis","Melastomataceae","Biotic",0.181988095569691,5.85357460968676e-05,5.690547429484
"Miconia_cinerea","Melastomataceae","Biotic",0.181988095569691,5.85290091155604e-05,5.69054920157215
"Tetrazygia_aurea","Melastomataceae","Biotic",0.181988095569691,5.85324999938604e-05,5.69054831345926
"Tetrazygia_decorticans","Melastomataceae","Biotic",0.181988095569691,5.85324999938604e-05,5.69054831345926
"Pachyanthus_monopleurus","Melastomataceae","Biotic",0.181988095569691,5.85327512676989e-05,5.69054824726178
"Tetrazygia_elegans","Melastomataceae","Biotic",0.181988095569691,5.85327512676989e-05,5.69054824726178
"Pachyanthus_mayarensis","Melastomataceae","Biotic",0.181988095569691,5.85374085457892e-05,5.69054711152063
"Pachyanthus_neglectus","Melastomataceae","Biotic",0.181988095569691,5.85378115316039e-05,5.6905470081293
"Pachyanthus_discolor","Melastomataceae","Biotic",0.181988095569691,5.85378115316039e-05,5.6905470081293
"Calycogonium_floribundum","Melastomataceae","Biotic",0.181988095569691,5.85409629447772e-05,5.69054622476826
"Calycogonium_grisebachii","Melastomataceae","Biotic",0.181988095569691,5.85417821445717e-05,5.69054601506149
"Calycogonium_plicatum","Melastomataceae","Biotic",0.181988095569691,5.85417821445717e-05,5.69054601506149
"Pachyanthus_reticulatus","Melastomataceae","Biotic",0.181988095569691,5.85414581390914e-05,5.69054609868411
"Calycogonium_revolutum","Melastomataceae","Biotic",0.181988095569691,5.85418450939831e-05,5.69054599951102
"Calycogonium_bissei","Melastomataceae","Biotic",0.181988095569691,5.85418450939831e-05,5.69054599951102
"Miconia_tetrandra","Melastomataceae","Biotic",0.181988095569691,5.84960599111346e-05,5.69055680322477
"Calycogonium_apleurum","Melastomataceae","Biotic",0.181988095569691,5.85079981646273e-05,5.69055382497801
"Tetrazygia_discolor","Melastomataceae","Biotic",0.181988095569691,5.85118287573863e-05,5.69055286274547
"Charianthus_alpinus","Melastomataceae","Biotic",0.181988095569691,5.85195425984632e-05,5.69055091130889
"Charianthus_nodosus","Melastomataceae","Biotic",0.181988095569691,5.85198099756571e-05,5.69055084333835
"Charianthus_dominicensis","Melastomataceae","Biotic",0.181988095569691,5.85217674465078e-05,5.69055034279619
"Charianthus_corymbosus","Melastomataceae","Biotic",0.181988095569691,5.85218631843221e-05,5.69055031821157
"Charianthus_purpureus","Melastomataceae","Biotic",0.181988095569691,5.85218631843221e-05,5.69055031821157
"Mecranium_latifolium","Melastomataceae","Biotic",0.181988095569691,5.84921263838416e-05,5.69055784058762
"Miconia_ovatifolia","Melastomataceae","Biotic",0.181988095569691,5.85068010498754e-05,5.69055445576506
"Miconia_pratensis","Melastomataceae","Biotic",0.181988095569691,5.85204712164673e-05,5.69055100051919
"Miconia_brachystemon","Melastomataceae","Biotic",0.181988095569691,5.85218557004411e-05,5.69055064290851
"Miconia_hirsuta","Melastomataceae","Biotic",0.181988095569691,5.85218557004411e-05,5.69055064290851
"Miconia_bohirdiana","Melastomataceae","Biotic",0.181988095569691,5.85258008949114e-05,5.69054963801566
"Ossaea_pauciflora","Melastomataceae","Biotic",0.181988095569691,5.85258008949114e-05,5.69054963801566
"Miconia_ascenditricha","Melastomataceae","Biotic",0.181988095569691,5.85261387617871e-05,5.69054955135659
"Miconia_lanatifolia","Melastomataceae","Biotic",0.181988095569691,5.85266465545289e-05,5.69054942045415
"Miconia_acunagalei","Melastomataceae","Biotic",0.181988095569691,5.85267450902726e-05,5.6905493950221
"Miconia_ekmanii","Melastomataceae","Biotic",0.181988095569691,5.85267450902726e-05,5.6905493950221
"Tetrazygia_biflora","Melastomataceae","Biotic",0.181988095569691,5.85284176386225e-05,5.69054964694553
"Tetrazygia_elaeagnoides","Melastomataceae","Biotic",0.181988095569691,5.85284176386225e-05,5.69054964694553
"Tetrazygia_urbani","Melastomataceae","Biotic",0.181988095569691,5.85272660072751e-05,5.69054994545167
"Tetrazygia_angustifolia","Melastomataceae","Biotic",0.181988095569691,5.85272660072751e-05,5.69054994545167
"Miconia_umbellata","Melastomataceae","Biotic",0.181988095569691,5.85241493426051e-05,5.69055074294695
