"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","within_sp_var_bio1","species.1","n_bio12","mean_bio12","sd_bio12","se_bio12","within_sp_var_bio12","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"51","Hedlundia anglica","5","8.98","0.947101","0.423556","3.187154","Hedlundia anglica","5","1034.8","289.27703","129.368621","28433.733256","Hedlundia anglica","5","726.2","56.397695","25.221816","9157.283352","Hedlundia anglica","5","14913.8","5372.232655","2402.535482","5710467.900528"
"52","Aria porrigentiformis","2","9.7","0.282843","0.2","7.967886","Aria porrigentiformis","2","934","281.428499","199","71084.333139","Aria porrigentiformis","2","730","2.828427","2","22893.20838","Aria porrigentiformis","2","13156.5","5244.610996","3708.5","14276169.751319"
"53","Rosa henryi","92","17.178261","2.345762","0.244563","0.173215","Rosa henryi","92","1409.815217","293.307472","30.579418","1545.31159","Rosa henryi","92","1228.195652","100.604791","10.488775","497.678443","Rosa henryi","92","11602.423913","2072.882127","216.112901","310351.516333"
"54","Aria eminens","1","9.5",NA,NA,"15.935771","Aria eminens","1","735",NA,NA,"142168.666279","Aria eminens","1","732",NA,NA,"45786.41676","Aria eminens","1","9448",NA,NA,"28552339.502639"
"55","Hedlundia leyana","1","8.3",NA,NA,"15.935771","Hedlundia leyana","1","1350",NA,NA,"142168.666279","Hedlundia leyana","1","676",NA,NA,"45786.41676","Hedlundia leyana","1","22716",NA,NA,"28552339.502639"
"56","Rosa micrantha","57","11.880702","2.541122","0.33658","0.279575","Rosa micrantha","57","711.105263","228.290282","30.237787","2494.187128","Rosa micrantha","57","1344.421053","215.921939","28.599559","803.270469","Rosa micrantha","57","5922.929825","3441.424325","455.827787","500918.236888"
"57","Aphanes australis","88","8.788636","2.128754","0.226926","0.181088","Aphanes australis","88","753.954545","235.555441","25.110294","1615.553026","Aphanes australis","84","900.25","228.715579","24.954916","545.07639","Aphanes australis","84","9029.202381","3667.582368","400.166043","339908.803603"
"58","Potentilla tetrandra","36","0.927778","5.160986","0.860164","0.44266","Potentilla tetrandra","36","289.916667","189.105772","31.517629","3949.129619","Potentilla tetrandra","36","1081.277778","277.208082","46.201347","1271.84491","Potentilla tetrandra","36","3327.472222","2693.213264","448.868877","793120.54174"
"59","Sorbus koehneana","59","8.405085","4.911578","0.639433","0.270098","Sorbus koehneana","59","819.355932","274.925869","35.792299","2409.638412","Sorbus koehneana","59","1076.881356","150.597212","19.606087","776.040962","Sorbus koehneana","59","7450.20339","2822.942594","367.515822","483937.957672"
"60","Potentilla multicaulis","60","8.278333","4.925791","0.635917","0.265596","Potentilla multicaulis","60","559.583333","161.838933","20.893316","2369.477771","Potentilla multicaulis","60","1254.583333","211.620967","27.320149","763.106946","Potentilla multicaulis","60","4675.033333","2098.822898","270.956871","475872.325044"
"61","Cotoneaster horizontalis","168","10.76131","3.798454","0.293057","0.094856","Cotoneaster horizontalis","168","999.029762","435.653153","33.61137","846.242061","Cotoneaster horizontalis","159","1026.396226","279.134445","22.136801","287.964885","Cotoneaster horizontalis","159","10787.27044","6636.134277","526.279681","179574.462281"
"62","Filipendula vulgaris","306","8.179412","3.154856","0.180351","0.052078","Filipendula vulgaris","306","689.496732","206.76221","11.819809","464.603485","Filipendula vulgaris","303","975.118812","245.917108","14.127569","151.110286","Filipendula vulgaris","303","7669.640264","3145.537457","180.706405","94232.143573"
"63","Neillia thyrsiflora","4","15.35","0.443471","0.221736","3.983943","Neillia thyrsiflora","4","1452","102.5508","51.2754","35542.16657","Neillia thyrsiflora","4","1274.5","50.61291","25.306455","11446.60419","Neillia thyrsiflora","4","11889.75","1636.448263","818.224131","7138084.87566"
"64","Alchemilla xanthochlora","112","7.275","1.999662","0.18895","0.142284","Alchemilla xanthochlora","112","920.839286","351.397328","33.203926","1269.363092","Alchemilla xanthochlora","110","869.472727","158.246452","15.088207","416.240152","Alchemilla xanthochlora","110","11931.672727","6047.407529","576.597684","259566.722751"
"65","Spiraea cantoniensis","107","14.066355","6.076337","0.587422","0.148932","Spiraea cantoniensis","107","1242.803738","570.242839","55.127456","1328.679124","Spiraea cantoniensis","105","1285.190476","302.64771","29.535392","436.061112","Spiraea cantoniensis","105","9920.495238","4489.60409","438.140496","271927.042882"
