"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"35","Agarista salicifolia","60","5.672798","0.01067","0.001377","4e-06","Agarista salicifolia","60","7.465687","0.381157","0.049207","0.00332","Agarista salicifolia","60","7.264299","0.161157","0.020805","0.000724","Agarista salicifolia","60","9.238556","0.347357","0.044844","0.002689"
"36","Rhododendron roxieanum","11","5.638961","0.020225","0.006098","2e-05","Rhododendron roxieanum","11","6.723093","0.239151","0.072107","0.018109","Rhododendron roxieanum","11","6.88628","0.300222","0.09052","0.003948","Rhododendron roxieanum","11","9.013703","0.255336","0.076987","0.014669"
"37","Siphonandra elliptica","12","5.654501","0.018027","0.005204","1.8e-05","Siphonandra elliptica","12","7.199966","0.393089","0.113475","0.0166","Siphonandra elliptica","12","7.197685","0.116881","0.033741","0.003619","Siphonandra elliptica","12","8.947957","0.245441","0.070853","0.013447"
"38","Bejaria aestuans","97","5.6703","0.016411","0.001666","2e-06","Bejaria aestuans","97","7.306793","0.663645","0.067383","0.002054","Bejaria aestuans","97","7.221747","0.140651","0.014281","0.000448","Bejaria aestuans","97","9.178905","0.719599","0.073064","0.001664"
"39","Pyrola minor","389","5.626627","0.011318","0.000574","1e-06","Pyrola minor","389","6.540855","0.371406","0.018831","0.000512","Pyrola minor","386","6.510408","0.209498","0.010663","0.000113","Pyrola minor","387","9.266926","0.406881","0.020683","0.000417"
"40","Erica cinerea","91","5.649394","0.007377","0.000773","2e-06","Erica cinerea","91","6.848118","0.4056","0.042518","0.002189","Erica cinerea","89","6.881155","0.237281","0.025152","0.000488","Erica cinerea","89","9.137576","0.512938","0.054371","0.001813"
"41","Comarostaphylis arbutoides","15","5.666053","0.01154","0.00298","1.4e-05","Comarostaphylis arbutoides","15","7.42566","0.437951","0.113078","0.01328","Comarostaphylis arbutoides","15","7.329356","0.157774","0.040737","0.002895","Comarostaphylis arbutoides","15","9.114432","0.548018","0.141498","0.010758"
"42","Gaultheria nummularioides","16","5.652306","0.01252","0.00313","1.4e-05","Gaultheria nummularioides","16","6.507535","0.482094","0.120524","0.01245","Gaultheria nummularioides","16","7.057188","0.103413","0.025853","0.002714","Gaultheria nummularioides","16","9.105999","0.276956","0.069239","0.010085"
"43","Gaultheria hookeri","17","5.653603","0.014072","0.003413","1.3e-05","Gaultheria hookeri","17","6.846974","0.52786","0.128025","0.011718","Gaultheria hookeri","17","7.035794","0.153438","0.037214","0.002554","Gaultheria hookeri","17","9.125713","0.23472","0.056928","0.009492"
"44","Erica tetralix","154","5.638778","0.009827","0.000792","1e-06","Erica tetralix","154","6.801501","0.382621","0.030832","0.001294","Erica tetralix","149","6.673718","0.184272","0.015096","0.000291","Erica tetralix","149","9.359952","0.504756","0.041351","0.001083"
"45","Cassiope fastigiata","31","5.624341","0.017338","0.003114","7e-06","Cassiope fastigiata","31","6.871195","0.490767","0.088144","0.006426","Cassiope fastigiata","31","7.0345","0.157422","0.028274","0.001401","Cassiope fastigiata","31","8.795924","0.436344","0.07837","0.005205"
"46","Pyrola elliptica","224","5.63268","0.009719","0.000649","1e-06","Pyrola elliptica","224","6.774728","0.26195","0.017502","0.000889","Pyrola elliptica","224","6.828448","0.157267","0.010508","0.000194","Pyrola elliptica","224","9.190132","0.318765","0.021298","0.00072"
"47","Arctostaphylos pungens","131","5.661677","0.01277","0.001116","2e-06","Arctostaphylos pungens","131","6.264255","0.591782","0.051704","0.001521","Arctostaphylos pungens","131","7.555244","0.161742","0.014131","0.000331","Arctostaphylos pungens","131","7.972473","0.635953","0.055563","0.001232"
"48","Kalmia polifolia","290","5.620668","0.014209","0.000834","1e-06","Kalmia polifolia","290","6.720743","0.339287","0.019924","0.000687","Kalmia polifolia","284","6.680265","0.237582","0.014098","0.000153","Kalmia polifolia","284","9.283803","0.379362","0.022511","0.000568"
"49","Vaccinium macrocarpum","177","5.634513","0.009939","0.000747","1e-06","Vaccinium macrocarpum","177","6.867049","0.199628","0.015005","0.001125","Vaccinium macrocarpum","173","6.828121","0.161151","0.012252","0.000251","Vaccinium macrocarpum","173","9.273323","0.272094","0.020687","0.000933"
"50","Arbutus menziesii","42","5.65244","0.010083","0.001556","5e-06","Arbutus menziesii","42","7.007203","0.459431","0.070892","0.004743","Arbutus menziesii","41","7.164116","0.257923","0.040281","0.001059","Arbutus menziesii","41","9.050279","0.582096","0.090908","0.003936"
"51","Kalmia angustifolia","171","5.627674","0.015407","0.001178","1e-06","Kalmia angustifolia","171","6.899057","0.179092","0.013696","0.001165","Kalmia angustifolia","170","6.724124","0.215133","0.0165","0.000255","Kalmia angustifolia","170","9.413563","0.217371","0.016672","0.000949"
"52","Gaultheria procumbens","212","5.636944","0.012435","0.000854","1e-06","Gaultheria procumbens","212","6.848428","0.235796","0.016195","0.00094","Gaultheria procumbens","210","6.871739","0.178245","0.0123","0.000207","Gaultheria procumbens","210","9.212797","0.249484","0.017216","0.000768"
"53","Chimaphila maculata","151","5.660384","0.013184","0.001073","1e-06","Chimaphila maculata","151","7.044938","0.356497","0.029011","0.001319","Chimaphila maculata","151","7.255709","0.220184","0.017918","0.000288","Chimaphila maculata","151","8.954976","0.454564","0.036992","0.001069"
"54","Gaylussacia dumosa","73","5.660127","0.019768","0.002314","3e-06","Gaylussacia dumosa","73","7.201599","0.157392","0.018421","0.002729","Gaylussacia dumosa","72","7.139891","0.290516","0.034238","0.000603","Gaylussacia dumosa","72","9.265482","0.321795","0.037924","0.002241"
"55","Epigaea repens","235","5.632905","0.0174","0.001135","1e-06","Epigaea repens","235","6.859991","0.229539","0.014973","0.000848","Epigaea repens","232","6.814501","0.244755","0.016069","0.000187","Epigaea repens","232","9.286471","0.25402","0.016677","0.000696"
"56","Sphyrospermum buxifolium","75","5.678581","0.013615","0.001572","3e-06","Sphyrospermum buxifolium","75","7.643514","0.523549","0.060454","0.002656","Sphyrospermum buxifolium","75","7.213276","0.134726","0.015557","0.000579","Sphyrospermum buxifolium","75","9.566792","0.486006","0.056119","0.002152"
"57","Psammisia sclerantha","11","5.676489","0.014387","0.004338","2e-05","Psammisia sclerantha","11","7.750791","0.496793","0.149789","0.018109","Psammisia sclerantha","11","7.054667","0.061695","0.018602","0.003948","Psammisia sclerantha","11","9.804033","0.56213","0.169489","0.014669"
"58","Thibaudia floribunda","31","5.659031","0.01327","0.002383","7e-06","Thibaudia floribunda","31","7.567419","0.370033","0.06646","0.006426","Thibaudia floribunda","31","7.063528","0.101654","0.018258","0.001401","Thibaudia floribunda","31","9.448953","0.320154","0.057501","0.005205"
"59","Andromeda polifolia","363","5.624566","0.011291","0.000593","1e-06","Andromeda polifolia","363","6.533041","0.372948","0.019575","0.000549","Andromeda polifolia","358","6.489346","0.181614","0.009599","0.000121","Andromeda polifolia","358","9.284516","0.373403","0.019735","0.000451"
"60","Gaultheria shallon","38","5.647858","0.009175","0.001488","6e-06","Gaultheria shallon","38","7.242538","0.464215","0.075306","0.005242","Gaultheria shallon","37","6.97244","0.214471","0.035259","0.001174","Gaultheria shallon","37","9.55613","0.536348","0.088175","0.004361"
"61","Rhododendron tomentosum","123","5.623698","0.010455","0.000943","2e-06","Rhododendron tomentosum","123","6.349027","0.200779","0.018104","0.00162","Rhododendron tomentosum","123","6.441765","0.167278","0.015083","0.000353","Rhododendron tomentosum","123","9.154595","0.161904","0.014598","0.001312"
"62","Rhododendron maximum","51","5.648537","0.00737","0.001032","4e-06","Rhododendron maximum","51","6.963699","0.151212","0.021174","0.003906","Rhododendron maximum","51","7.028585","0.108658","0.015215","0.000851","Rhododendron maximum","51","9.211065","0.13199","0.018482","0.003164"
"63","Acrotriche serrulata","49","5.659096","0.006415","0.000916","4e-06","Acrotriche serrulata","49","6.637767","0.301512","0.043073","0.004065","Acrotriche serrulata","46","7.268629","0.137573","0.020284","0.000944","Acrotriche serrulata","46","8.614175","0.399323","0.058877","0.003508"
"64","Richea acerosa","2","5.633538","0.001517","0.001073","0.000109","Richea acerosa","2","7.298561","0.499938","0.35351","0.0996","Richea acerosa","2","6.789998","0.069973","0.049478","0.021713","Richea acerosa","2","9.784402","0.576335","0.40753","0.080682"
"65","Prionotes cerinthoides","9","5.645801","0.006583","0.002194","2.4e-05","Prionotes cerinthoides","9","7.338221","0.330454","0.110151","0.022133","Prionotes cerinthoides","9","6.920779","0.095823","0.031941","0.004825","Prionotes cerinthoides","9","9.655996","0.376807","0.125602","0.017929"
"66","Conostephium pendulum","7","5.67481","0.004776","0.001805","3.1e-05","Conostephium pendulum","7","6.602255","0.322","0.121705","0.028457","Conostephium pendulum","7","7.627768","0.117399","0.044373","0.006204","Conostephium pendulum","7","8.157607","0.398176","0.150496","0.023052"
"67","Epacris impressa","54","5.658837","0.005109","0.000695","4e-06","Epacris impressa","54","6.686705","0.374585","0.050975","0.003689","Epacris impressa","50","7.214106","0.132356","0.018718","0.000869","Epacris impressa","50","8.725645","0.432895","0.061221","0.003227"
"68","Lissanthe sapida","1","5.661397",NA,NA,"0.000217","Lissanthe sapida","1","6.996681",NA,NA,"0.1992","Lissanthe sapida","1","7.27448",NA,NA,"0.043426","Lissanthe sapida","1","9.01712",NA,NA,"0.161363"
"69","Sprengelia incarnata","52","5.658905","0.008373","0.001161","4e-06","Sprengelia incarnata","52","6.823653","0.358247","0.04968","0.003831","Sprengelia incarnata","50","7.195921","0.161524","0.022843","0.000869","Sprengelia incarnata","50","8.871696","0.443293","0.062691","0.003227"
