"","species","temp","prec","pet","aridity","lon","lat"
"147","Aphanes arvensis",131,1297,998,11338,12.73333,46.03333
"148","Aphanes arvensis",108,489,1364,3466,-0.84,39.87
"149","Aphanes arvensis",125,398,1465,2701,-1.3,40.14
"150","Aphanes arvensis",143,487,1398,3081,-0.37,39.95
"151","Aphanes arvensis",126,613,1372,5129,1.45955,41.85859
"152","Aphanes arvensis",160,785,1313,5792,2.7,41.78
"153","Aphanes arvensis",159,350,1694,2053,-0.893,41.636
"154","Aphanes arvensis",106,639,801,7634,1.288883,51.135086
"155","Aphanes arvensis",145,628,1330,3518,11.145667,42.411119
"156","Aphanes arvensis",149,939,1238,7127,10.987272,43.756806
"157","Aphanes arvensis",89,558,806,6438,14.2482,53.5485
"158","Aphanes arvensis",91,540,788,7012,12.7484,53.7485
"159","Aphanes arvensis",88,575,713,8119,13.2483,54.5484
"160","Aphanes arvensis",89,587,794,7573,11.9152,53.6485
"161","Aphanes arvensis",89,586,NA,NA,13.0817,54.3484
"162","Aphanes arvensis",93,661,804,7989,10.5821,53.3485
"163","Aphanes arvensis",114,640,1368,6196,22.169444,37.65
"164","Aphanes arvensis",46,1206,803,16137,15.125,46.925
"165","Aphanes arvensis",110,589,983,6590,2.287,48.79108
"166","Aphanes arvensis",107,768,798,9672,3.44193,51.352451
"167","Aphanes arvensis",112,1046,1001,9670,6.1335,46.221
"168","Aphanes arvensis",67,640,777,7794,22.092086,58.300803
"169","Aphanes arvensis",84,558,838,6547,20.283333,51.35
"170","Aphanes arvensis",95,798,1279,7734,5.43154,43.99696
"171","Aphanes arvensis",81,802,861,8392,23.063447,49.566979
"172","Aphanes arvensis",136,622,1446,5190,5.42771,43.90701
"173","Aphanes arvensis",127,541,1208,4682,27.22583,42.61639
"174","Aphanes arvensis",156,1051,1441,6415,20.66285,37.89491
"175","Aphanes arvensis",75,515,749,6954,19.230506,57.971954
"176","Rubus ulmifolius",98,811,841,10268,5.92835,50.770333
"177","Rubus ulmifolius",143,469,1354,3610,-1.735689,42.329552
"178","Rubus ulmifolius",160,585,1523,3019,0.01,40.12
"179","Rubus ulmifolius",177,563,1599,2119,0.07,38.77
"180","Rubus ulmifolius",173,285,1685,1975,-0.81,38.28
"181","Rubus ulmifolius",159,505,1511,2824,-0.38,39.68
"182","Rubus ulmifolius",176,433,1578,2552,-0.61,39.59
"183","Rubus ulmifolius",141,1261,1017,9565,-5.76,43.439999
"184","Rubus ulmifolius",136,1120,997,8664,-4.73,43.34
"185","Rubus ulmifolius",99,831,920,8752,5.23035,48.0139
"186","Rubus ulmifolius",109,691,935,7815,4.53798,48.6461
"187","Rubus ulmifolius",99,824,809,10061,-1.171048,51.204609
"188","Rubus ulmifolius",107,621,906,6850,3.99704,48.9054
"189","Rubus ulmifolius",117,618,944,8752,11.304167,46.471389
"190","Rubus ulmifolius",86,699,914,8738,11.6766,46.7213
"191","Rubus ulmifolius",172,375,1717,2433,23.735,38.028611
"192","Rubus ulmifolius",160,653,1386,4651,8.559397,40.723631
"193","Rubus ulmifolius",161,576,1501,3596,9.214266,41.061284
"194","Rubus ulmifolius",112,817,1281,6563,9.271027,39.971952
"195","Rubus ulmifolius",175,454,1399,5257,8.293336,40.596209
"196","Rubus ulmifolius",174,327,1820,1702,-16.8425,28.2995
"197","Rubus ulmifolius",169,658,1693,4698,-5.333333,35.216667
"198","Rubus ulmifolius",173,846,1584,5263,-5.881944,35.786944
"199","Rubus ulmifolius",97,963,1121,6206,-5.111,42.834
"200","Rubus ulmifolius",116,885,1622,2286,-5.183333,33.416667
"201","Rubus ulmifolius",146,1191,1028,8403,-4.4818,43.3414
"202","Rubus ulmifolius",135,724,1738,2438,-5.4667,32.9333
"203","Rubus ulmifolius",180,776,1603,4477,9.486111,37.229167
"204","Rubus ulmifolius",165,653,1548,4441,22.4,37.1
"205","Rubus ulmifolius",176,508,1500,3732,4.0795,40.0359
"206","Rubus ulmifolius",161,411,1702,2877,-4.31,38.35
"207","Rubus ulmifolius",140,831,1353,3975,9.6656,40.0347
"208","Rubus ulmifolius",114,509,1294,3369,-4.2226,42.0927
"209","Rubus ulmifolius",121,501,1358,3084,-3.6077,40.9987
"210","Rubus ulmifolius",150,1345,1201,11550,-8.373783,41.390755
"211","Rubus ulmifolius",157,557,1292,9270,-7.294152,41.143192
"212","Rubus ulmifolius",187,608,1637,3688,9.915556,37.2475
"213","Rubus ulmifolius",120,703,1557,4013,-4.197,36.991
"214","Rubus ulmifolius",170,597,1571,4314,-5.262,36.525
"215","Rubus ulmifolius",184,541,1708,3541,-5.8,36.74
"216","Rubus ulmifolius",154,267,1712,2037,-2.47,37.349998
"217","Rubus ulmifolius",172,786,1406,3731,-8.825,37.339
"218","Rubus ulmifolius",156,638,1703,3363,-4.404,37.241
"219","Rubus ulmifolius",114,756,1116,7261,-3.08,42.853001
"220","Rubus ulmifolius",124,1415,1036,11102,-3.31,43.310001
"221","Rubus ulmifolius",84,505,1215,5322,-1.8,41.78
"222","Rubus ulmifolius",138,1493,1140,10592,-0.97,43.29
"223","Rubus ulmifolius",145,1086,1591,4725,-6.81,40.099998
"224","Rubus ulmifolius",132,807,1425,4706,3.169722,42.322778
"225","Rubus ulmifolius",144,1970,1105,11784,-1.821,43.377998
"226","Rubus ulmifolius",83,1799,1082,9717,-1.21,42.96
"227","Rubus ulmifolius",121,977,1352,6706,5.06417,44.18458
"228","Rubus ulmifolius",151,634,1475,4974,5.0544,43.91467
"229","Rubus ulmifolius",134,1106,1114,9936,9.752733,44.096832
"230","Rubus ulmifolius",132,1261,1193,10822,8.944232,44.450473
"231","Rubus ulmifolius",134,500,1477,3707,13.631431,37.638517
"232","Rubus ulmifolius",140,658,1397,3928,13.326229,38.028237
"233","Rubus ulmifolius",151,633,1433,3760,13.253344,38.091741
"234","Rubus ulmifolius",166,687,1614,5041,15.55,38.233333
"235","Rubus ulmifolius",108,833,957,11747,6.55532,46.74526
"236","Rubus ulmifolius",102,802,861,10249,8.73722,47.68586
"237","Rubus ulmifolius",152,720,1620,3338,-5.386641,39.382357
"238","Rubus ulmifolius",158,716,1690,3720,-6.785326,39.714466
"239","Rubus ulmifolius",132,961,1390,5061,-5.84,40.290001
"240","Rubus ulmifolius",167,755,1686,3438,-6.9,38.2
"241","Rubus ulmifolius",159,593,1739,3574,-6.42,38.41
"242","Rubus ulmifolius",157,1002,1560,3479,-5.87,40.02
"243","Rubus ulmifolius",159,1007,1251,6750,-8.792245,40.269463
"244","Rubus ulmifolius",103,708,960,7641,22.683938,48.257504
"245","Rubus ulmifolius",109,765,903,8396,-1.411216,50.90489
"246","Rubus ulmifolius",107,581,823,7262,0.327778,51.436111
"247","Rubus ulmifolius",183,571,1627,3822,15.054722,38.135
"248","Rubus ulmifolius",188,281,1639,2135,-3.8125,35.007778
"249","Rubus ulmifolius",165,270,1644,2085,-2.63338,36.85694
"250","Rubus ulmifolius",122,533,1597,3092,-3.24,37.23
"251","Rubus ulmifolius",184,636,1707,3080,-6.51,37.26
"252","Rubus ulmifolius",176,571,1739,3144,-4.75,37.96
"253","Rubus ulmifolius",171,443,1753,3062,-4.83,38.1
"254","Rubus ulmifolius",159,735,1754,3620,-6.14,37.95
"255","Rubus ulmifolius",174,498,1707,2301,-16.28,28.52
"256","Rubus ulmifolius",161,980,1359,7016,-8.422806,40.272598
"257","Rubus ulmifolius",158,713,1320,5529,-9.388807,38.805847
"258","Rubus ulmifolius",172,611,1693,3205,-7.614932,37.903679
"259","Rubus ulmifolius",145,844,1366,5275,2.89,39.830002
"260","Rubus ulmifolius",NA,NA,NA,NA,15.5,44.2
"261","Rubus ulmifolius",158,825,1679,4768,24.5,35.2
"262","Rubus ulmifolius",118,906,1218,7278,13.124313,43.174656
"263","Rubus ulmifolius",52,971,917,10501,13.289549,42.873976
"264","Rubus ulmifolius",156,770,1177,5945,13.539199,43.474448
"265","Rubus ulmifolius",119,711,1006,7154,2.398844,47.080525
"266","Rubus ulmifolius",135,1841,1072,10366,-9.104121,42.906297
"267","Rubus ulmifolius",141,1310,1106,14829,-8.272873,42.759955
"268","Rubus ulmifolius",112,1029,1201,8379,-6.648,42.433
"269","Rubus ulmifolius",81,1235,871,15592,7.60414,47.37822
"270","Rubus ulmifolius",69,2056,987,13797,8.76661,46.20116
"271","Rubus ulmifolius",106,783,813,9506,3.864441,51.56512
"272","Rubus ulmifolius",67,1052,1048,11564,-6.181,42.801
"273","Rubus ulmifolius",129,486,1358,5586,-5.95,41.630001
"274","Rubus ulmifolius",131,429,1375,2988,-4.63,41.66
"275","Rubus ulmifolius",190,273,1741,1636,-1.172,37.983
"276","Rubus ulmifolius",68,1360,1157,8368,-0.298,42.641
"277","Rubus ulmifolius",97,501,1376,3857,-1.43,40.13
"278","Rubus ulmifolius",122,464,1482,2907,-1.36,41.1
"279","Rubus ulmifolius",114,532,1341,3047,-2.94,41.51
"280","Rubus ulmifolius",156,384,1746,2095,-2.03,38.44
"281","Rubus ulmifolius",128,635,1499,3381,-2.36,39.97
"282","Rubus ulmifolius",112,292,1678,3240,-7.8,31.25
"283","Rubus ulmifolius",124,545,1410,4701,0.832,42.022
"284","Rubus ulmifolius",151,552,1351,4594,1.839,41.5338
"285","Rubus ulmifolius",199,437,1993,2463,-6.357,32.335
"286","Rubus ulmifolius",177,377,1543,2896,1.418,38.971
"287","Rubus ulmifolius",159,690,1681,3705,-7.6,38.7
"288","Rubus ulmifolius",98,849,1563,3402,-2.666667,38.25
"289","Rubus ulmifolius",144,1269,1540,9125,8.684167,36.79
"290","Rubus ulmifolius",105,816,891,8626,4.74184,49.1958
"291","Rubus ulmifolius",154,601,1500,5812,9.41667,42.96667
"292","Rubus ulmifolius",128,1431,1023,12709,-7.84,43.45
"293","Rubus ulmifolius",110,632,1312,3823,-3.78,41.11
"294","Rubus ulmifolius",161,619,1568,2110,-4.65,40.09
"295","Rubus ulmifolius",145,628,1330,3518,11.145667,42.411119
"296","Rubus ulmifolius",142,982,1272,7127,10.403339,43.523116
"297","Rubus ulmifolius",147,724,1183,7649,11.482252,43.824284
"298","Rubus ulmifolius",88,1174,1090,13410,11.317978,44.150766
"299","Rubus ulmifolius",159,652,1415,3779,10.380032,42.746537
"300","Rubus ulmifolius",151,436,1536,2948,0.17,41.91
"301","Rubus ulmifolius",123,1247,1073,12291,13.8775,45.51139
"302","Rubus ulmifolius",182,793,1826,4166,-5.4975,34.766667
"303","Rubus ulmifolius",155,830,1446,5690,16.68861,43.44472
"304","Rubus ulmifolius",205,425,1691,1903,-17.753134,28.777205
"305","Rubus moorei",158,1892,1547,10602,153.1333,-28.4833
"306","Potentilla norvegica",24,524,795,6249,61.5,57.416667
"307","Potentilla norvegica",140,890,1360,7642,-77.0575,38.8994
"308","Potentilla norvegica",65,1326,755,20487,-60.283333,45.933333
"309","Potentilla norvegica",97,800,716,11107,6.68065,53.1355
"310","Potentilla norvegica",101,561,1760,3027,-111.530361,35.119139
"311","Potentilla norvegica",118,1038,1245,10329,-122.58962,43.81578
"312","Potentilla norvegica",97,909,1174,7874,-88.13477,41.96207
"313","Potentilla norvegica",88,791,1090,7472,-86.189572,43.067778
"314","Potentilla norvegica",82,442,1733,3207,-109.458,34.01
"315","Potentilla norvegica",99,381,1677,2372,-105.084423,40.58526
"316","Potentilla norvegica",75,516,1698,3397,-108.64657,33.452154
"317","Potentilla norvegica",57,338,1517,1956,-105.69973,37.99639
"318","Potentilla norvegica",66,537,1052,7907,-121.01675,46.77025
"319","Potentilla norvegica",-78,214,501,4820,-126.416667,67.333333
"320","Potentilla norvegica",75,586,1589,3774,-111.735889,35.3482779991093
"321","Potentilla norvegica",95,901,1102,8155,-87.758119,42.135027
"322","Potentilla norvegica",97,727,1748,3625,-110.952,34.3394
"323","Potentilla norvegica",78,1009,814,12849,144.3905,43.02871
"324","Potentilla norvegica",105,619,908,6834,-0.271231,51.548322
"325","Potentilla norvegica",95,330,1374,3114,-122.03,42.135
"326","Potentilla norvegica",118,194,1838,1044,-119.716914,39.525778
"327","Potentilla norvegica",22,679,532,12527,18.9104,69.0154
"328","Potentilla norvegica",-54,440,653,5231,-134.382997,65.506808
"329","Potentilla norvegica",63,608,741,7914,17.9,59.23
"330","Potentilla norvegica",-14,329,649,4605,-147.83,64.86
"331","Potentilla norvegica",137,1012,1277,9034,-84.268333,37.90056
"332","Potentilla norvegica",114,914,1287,7045,-94.027778,40.315
"333","Potentilla norvegica",113,950,1283,7400,-91.765833,40.581945
"334","Potentilla norvegica",109,952,1229,7734,-88.984,40.515
"335","Potentilla norvegica",136,1045,1355,7294,-90.201224,38.458162
"336","Potentilla norvegica",144,1013,1491,7656,-94.31,37.17638
"337","Potentilla norvegica",124,1010,1347,7538,-92.31,39.41
"338","Potentilla norvegica",130,919,1323,7041,-90.754944,39.264583
"339","Potentilla norvegica",117,987,974,11240,-122.264448,48.481162
"340","Potentilla norvegica",116,1027,999,10811,-122.44306,47.25306
"341","Potentilla norvegica",70,1907,947,21319,-121.81139,46.75
"342","Potentilla norvegica",106,239,1343,2039,-120.01528,47.84111
"343","Potentilla norvegica",-29,615,556,10037,-150.8935,63.5185
"344","Potentilla norvegica",88,925,1144,11089,-121.5761,45.4626
"345","Potentilla norvegica",103,279,1297,2281,-119.54944,48.42139
"346","Potentilla norvegica",15,985,458,27779,-136.466667,59.5
"347","Potentilla norvegica",7,480,555,9223,27.336486,66.735191
"348","Potentilla norvegica",29,580,611,9344,25.284717,63.586159
"349","Potentilla norvegica",50,672,695,9833,27.453833,60.634607
"350","Potentilla norvegica",39,579,646,9650,25.169345,62.238565
"351","Potentilla norvegica",45,593,660,9811,22.949791,61.562476
"352","Potentilla norvegica",44,581,657,9350,24.943869,61.162741
"353","Potentilla norvegica",6,424,523,8485,27.500699,68.675998
"354","Potentilla norvegica",47,553,670,8689,23.192346,61.120234
"355","Potentilla norvegica",14,615,582,10620,29.005192,64.928433
"356","Potentilla norvegica",30,593,616,9622,27.097444,63.596372
"357","Potentilla norvegica",37,589,634,9273,24.400666,62.226289
"358","Potentilla norvegica",49,579,676,8826,22.426603,61.27625
"359","Potentilla norvegica",53,604,701,9048,26.860419,60.505198
"360","Potentilla norvegica",44,587,674,8837,24.259461,61.339177
"361","Potentilla norvegica",31,603,608,10161,26.747701,63.259799
"362","Potentilla norvegica",43,637,668,9365,24.134942,60.963903
"363","Potentilla norvegica",41,583,645,9344,27.090922,61.532763
"364","Potentilla norvegica",35,575,618,10145,26.508326,62.698429
"365","Potentilla norvegica",42,652,682,9180,28.018962,61.170009
"366","Potentilla norvegica",56,640,722,8729,24.897265,60.183436
"367","Potentilla norvegica",4,318,468,8605,26.930918,69.725564
"368","Potentilla norvegica",37,598,678,8881,28.792517,61.700542
"369","Potentilla norvegica",57,573,NA,NA,24.986765,60.193804
"370","Potentilla norvegica",22,658,600,11105,29.067583,63.11936
"371","Potentilla norvegica",41,578,653,9396,25.7791,62.142101
"372","Potentilla norvegica",3,559,539,10861,29.089332,66.003979
"373","Potentilla norvegica",37,541,634,8843,23.592334,62.568033
"374","Potentilla norvegica",26,495,588,9159,25.388986,65.292064
"375","Potentilla norvegica",34,669,1313,4142,-104.0622,44.3442
"376","Potentilla norvegica",95,728,1051,8327,-76.788011,41.785908
"377","Potentilla norvegica",128,1049,1436,6942,-94.672736,39.129448
"378","Potentilla norvegica",74,236,1723,2222,-113.61,38.33
"379","Potentilla norvegica",48,576,1505,3426,-112.78,37.52
"380","Potentilla norvegica",93,495,1543,2811,-101.523224,41.679718
"381","Potentilla norvegica",100,766,1058,8518,-76.496607,42.440628
"382","Potentilla norvegica",130,795,1520,5859,-96.571669,39.183608
"383","Potentilla norvegica",73,364,1607,2749,-104.95415,39.21527
"384","Potentilla norvegica",40,284,1313,2886,-106.1417,41.2983
"385","Potentilla norvegica",118,1163,1250,8661,-73.525125,40.768173
"386","Potentilla norvegica",101,927,1045,11122,-73.3425,41.9925
"387","Potentilla norvegica",121,1081,1284,9708,-74.156889,40.857784
"388","Potentilla norvegica",92,1199,1059,11354,-71.90861,42.24583
"389","Potentilla norvegica",92,390,1719,2820,-105.249878,39.985814
"390","Potentilla norvegica",77,928,966,10450,-74.617236,42.408823
"391","Potentilla norvegica",81,267,1551,1837,-114.94,41.78
"392","Potentilla norvegica",63,156,1328,1452,-110.09,42.05
"393","Potentilla norvegica",100,1036,903,9123,5.68874,48.2194
"394","Potentilla norvegica",69,2360,703,48849,5.7443,60.4668
"395","Potentilla norvegica",75,1745,716,24349,6.01441331162728,59.1833819180137
"396","Potentilla norvegica",67,834,789,8998,10.6672,59.9107
"397","Potentilla norvegica",66,1063,727,17976,8.18080191261198,58.6223832159646
"398","Potentilla norvegica",69,834,756,10423,11.400885462022,59.1236341870374
"399","Potentilla norvegica",69,1631,662,34631,5.977,59.943
"400","Potentilla norvegica",81,1268,771,18539,7.98741303082196,58.1628638570496
"401","Potentilla norvegica",60,896,573,15630,8.70421,62.65769
"402","Potentilla norvegica",29,1188,683,17413,7.5586645557574,59.0929947627701
"403","Potentilla norvegica",65,1831,615,27473,6.2857,60.6305
"404","Potentilla norvegica",59,538,616,10780,7.50627952291141,61.081571835706
"405","Potentilla norvegica",45,1449,428,43365,6.65022642794764,61.6217842980558
"406","Potentilla norvegica",79,1484,710,18509,5.6427,58.6571
"407","Potentilla norvegica",80,1430,737,21853,5.28568704809773,59.2814777959957
"408","Potentilla norvegica",82,1695,745,17763,6.64207434141652,58.1096478841258
"409","Potentilla norvegica",124,865,1422,6332,-94.93084,39.75916
"410","Potentilla norvegica",126,836,1314,7485,-91.35833,39.70833
"411","Potentilla norvegica",82,1743,893,17105,140.7025,37.358889
"412","Potentilla norvegica",76,983,864,13988,12.316944,47.448056
"413","Potentilla norvegica",57,686,828,11653,12.465209,47.004467
"414","Potentilla norvegica",14,679,736,9740,11.012183,46.862167
"415","Potentilla norvegica",96,347,1783,2433,-105.001738,39.695035
"416","Potentilla norvegica",98,465,1759,2574,-105.5518,35.3205
"417","Potentilla norvegica",106,335,1828,2122,-106.32346,35.765021
"418","Potentilla norvegica",117,225,1897,1264,-108.739444,35.849444
"419","Potentilla norvegica",49,273,1404,2427,-106.5471,39.97934
"420","Potentilla norvegica",39,341,1120,4380,-106.85674,37.67537
"421","Potentilla norvegica",86,436,1599,3001,-107.63728,37.21917
