"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"71","Astronia cumingiana","13","23.623077","3.004206","0.833217","0.494707","Astronia cumingiana","13","2735.538462","645.68047","179.079542","48703.602592","Astronia cumingiana","13","1436.307692","110.757531","30.718612","1914.304733","Astronia cumingiana","13","17932.615385","4555.445506","1263.453258","2189080.613796"
"72","Pleroma tibouchinum","109","25.446789","1.419805","0.135993","0.059002","Pleroma tibouchinum","109","2330.981651","647.574734","62.02641","5808.686548","Pleroma tibouchinum","109","1525.706422","146.880608","14.068611","228.311574","Pleroma tibouchinum","109","14807.550459","3318.818187","317.88513","261083.008985"
"73","Miconia lepidota","122","24.169672","2.154791","0.195086","0.052715","Miconia lepidota","122","2227.508197","804.749992","72.858641","5189.728145","Miconia lepidota","121","1433.991736","136.426384","12.402399","205.669104","Miconia lepidota","121","15054.991736","4809.690537","437.244594","235190.479168"
"74","Memecylon lilacinum","42","25.683333","1.485526","0.229222","0.153124","Memecylon lilacinum","42","2669.309524","878.604561","135.571627","15074.924612","Memecylon lilacinum","43","1580.372093","119.376161","18.204694","578.743291","Memecylon lilacinum","43","16075.209302","5807.685235","885.663695","661815.069287"
"75","Amphiblemma cymosum","8","23.575","1.456758","0.515042","0.803899","Amphiblemma cymosum","8","2073.125","646.458802","228.557701","79143.354213","Amphiblemma cymosum","8","1722.25","170.930019","60.432888","3110.745192","Amphiblemma cymosum","8","12177.625","2935.795727","1037.960533","3557255.997419"
"76","Tristemma akeassii","13","25.130769","1.267796","0.351623","0.494707","Tristemma akeassii","13","2077.230769","870.762899","241.506175","48703.602592","Tristemma akeassii","13","1539.153846","52.886429","14.668056","1914.304733","Tristemma akeassii","13","13223.769231","4413.003591","1223.946979","2189080.613796"
"77","Blakea quadriflora","12","17.791667","3.99965","1.1546","0.535933","Blakea quadriflora","12","1833.583333","775.48055","223.861952","52762.236142","Blakea quadriflora","12","1139.833333","128.17306","37.000375","2073.830128","Blakea quadriflora","12","15229","7309.342639","2110.02547","2371503.998279"
"78","Graffenrieda weddellii","56","23.3625","2.479851","0.331384","0.114843","Graffenrieda weddellii","56","2180.392857","792.783833","105.940196","11306.193459","Graffenrieda weddellii","56","1479.107143","132.677145","17.729729","444.39217","Graffenrieda weddellii","56","14560.267857","5531.191348","739.136534","508179.428203"
"79","Dissotis grandiflora","9","25.433333","2.024228","0.674743","0.714577","Dissotis grandiflora","9","1324.333333","313.361612","104.453871","70349.648189","Dissotis grandiflora","9","1932.333333","313.574951","104.524984","2765.106837","Dissotis grandiflora","9","7279.888889","2661.152168","887.050723","3162005.331039"
"80","Memecylon virescens","2","25.5","0","0","3.215595","Memecylon virescens","2","2905.5","70.003571","49.5","316573.41685","Memecylon virescens","2","1278","11.313708","8","12442.980767","Memecylon virescens","2","20589.5","863.37738","610.5","14229023.989676"
"81","Miconia magdalenae","13","25.176923","1.265012","0.350851","0.494707","Miconia magdalenae","13","2491.923077","547.612159","151.880286","48703.602592","Miconia magdalenae","13","1580.615385","52.125711","14.457071","1914.304733","Miconia magdalenae","13","16114.692308","3311.360178","918.40607","2189080.613796"
"82","Memecylon umbellatum","8","25.7375","2.047952","0.72406","0.803899","Memecylon umbellatum","8","1672.75","379.660657","134.230313","79143.354213","Memecylon umbellatum","8","1792.125","144.042095","50.926571","3110.745192","Memecylon umbellatum","8","8092.875","2509.534074","887.254281","3557255.997419"
