"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"33","Sonerila obliqua","16","5.699448","0.005171","0.001293","5e-06","Sonerila obliqua","16","7.932097","0.296624","0.074156","0.007412","Sonerila obliqua","16","7.318042","0.047295","0.011824","0.000768","Sonerila obliqua","16","9.762375","0.246015","0.061504","0.007299"
"34","Tristemma mauritianum","96","5.690554","0.009188","0.000938","1e-06","Tristemma mauritianum","96","7.495037","0.305167","0.031146","0.001235","Tristemma mauritianum","94","7.263095","0.191256","0.019727","0.000131","Tristemma mauritianum","94","9.383143","0.366842","0.037837","0.001242"
"35","Miconia prasina","422","5.694785","0.008721","0.000425","0","Miconia prasina","422","7.565144","0.420897","0.020489","0.000281","Miconia prasina","414","7.320162","0.121633","0.005978","3e-05","Miconia prasina","415","9.444614","0.431631","0.021188","0.000281"
"36","Miconia holosericea","205","5.69697","0.004778","0.000334","0","Miconia holosericea","205","7.586181","0.340262","0.023765","0.000579","Miconia holosericea","204","7.303707","0.096757","0.006774","6e-05","Miconia holosericea","204","9.480258","0.343218","0.02403","0.000572"
"37","Memecylon pauciflorum","68","5.701228","0.005046","0.000612","1e-06","Memecylon pauciflorum","68","7.143523","0.282456","0.034253","0.001744","Memecylon pauciflorum","63","7.690022","0.097554","0.012291","0.000195","Memecylon pauciflorum","63","8.643227","0.353025","0.044477","0.001854"
"38","Memecylon scutellatum","33","5.697958","0.008482","0.001477","2e-06","Memecylon scutellatum","33","7.49392","0.409185","0.07123","0.003594","Memecylon scutellatum","32","7.422104","0.097019","0.017151","0.000384","Memecylon scutellatum","32","9.271255","0.407481","0.072033","0.00365"
"39","Henriettea succosa","113","5.69768","0.005503","0.000518","1e-06","Henriettea succosa","113","7.627437","0.412656","0.038819","0.00105","Henriettea succosa","110","7.348366","0.089505","0.008534","0.000112","Henriettea succosa","110","9.443904","0.40598","0.038709","0.001062"
"40","Miconia abbreviata","48","5.694635","0.00675","0.000974","2e-06","Miconia abbreviata","48","7.842066","0.401086","0.057892","0.002471","Miconia abbreviata","48","7.198905","0.128852","0.018598","0.000256","Miconia abbreviata","48","9.844233","0.369571","0.053343","0.002433"
"41","Memecylon laurentii","18","5.692602","0.003989","0.00094","4e-06","Memecylon laurentii","18","7.599883","0.232044","0.054693","0.006589","Memecylon laurentii","18","7.030298","0.082748","0.019504","0.000682","Memecylon laurentii","18","9.719013","0.16365","0.038573","0.006488"
"42","Tristemma littorale","7","5.69711","0.004143","0.001566","1.1e-05","Tristemma littorale","7","7.837834","0.257177","0.097204","0.016942","Tristemma littorale","8","7.074219","0.093485","0.033052","0.001536","Tristemma littorale","8","9.881695","0.202457","0.071579","0.014599"
