"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"89","Astroloma xerophyllum","6","19.466667","0.588784","0.24037","2.769721","Astroloma xerophyllum","6","595.333333","86.42839","35.284242","37237.961917","Astroloma xerophyllum","6","2229.333333","68.093074","27.798881","5688.802058","Astroloma xerophyllum","6","2596.166667","460.734812","188.094199","4968478.792492"
"90","Styphelia exarrhena","8","15.2375","0.480885","0.170019","2.077291","Styphelia exarrhena","8","555.875","94.60208","33.446886","27928.471438","Styphelia exarrhena","7","1659.142857","114.466048","43.2641","4876.116049","Styphelia exarrhena","7","3511.285714","979.656694","370.275426","4258696.10785"
"91","Astroloma ciliatum","9","17.1","1.5","0.5","1.846481","Astroloma ciliatum","9","808.777778","245.93992","81.979973","24825.307945","Astroloma ciliatum","9","1927.777778","241.361647","80.453882","3792.534705","Astroloma ciliatum","9","4202.444444","1551.926312","517.308771","3312319.194995"
"92","Dracophyllum secundum","6","14.25","1.148477","0.468864","2.769721","Dracophyllum secundum","6","1274.5","307.235903","125.428532","37237.961917","Dracophyllum secundum","6","1421.5","43.214581","17.642279","5688.802058","Dracophyllum secundum","6","8184","2401.933554","980.585267","4968478.792492"
"93","Richea victoriana","1","8.7",NA,NA,"16.618325","Richea victoriana","1","1436",NA,NA,"223427.771505","Richea victoriana","1","1103",NA,NA,"34132.812346","Richea victoriana","1","12771",NA,NA,"29810872.754952"
"94","Cyathodes glauca","8","9.1875","2.300582","0.813379","2.077291","Cyathodes glauca","8","1064.875","377.155306","133.344537","27928.471438","Cyathodes glauca","8","1026.875","99.860528","35.306028","4266.601543","Cyathodes glauca","8","12112.875","4978.005924","1759.990873","3726359.094369"
"95","Leucopogon distans","5","15.98","0.496991","0.222261","3.323665","Leucopogon distans","5","1053","175.099971","78.307088","44685.554301","Leucopogon distans","5","1573.2","149.123104","66.68988","6826.562469","Leucopogon distans","5","6378.2","906.736015","405.504673","5962174.55099"
"96","Conostephium preissii","7","19.057143","0.464963","0.175739","2.374046","Conostephium preissii","7","608.428571","195.892706","74.040483","31918.253072","Conostephium preissii","7","2199.571429","118.171989","44.664814","4876.116049","Conostephium preissii","7","2825.428571","977.419708","369.429925","4258696.10785"
"97","Richea procera","5","8.36","1.299231","0.581034","3.323665","Richea procera","5","1324","694.460942","310.572375","44685.554301","Richea procera","5","964.2","65.785257","29.420061","6826.562469","Richea procera","5","16101.2","6148.981355","2749.90806","5962174.55099"
"98","Archeria comberi","1","8",NA,NA,"16.618325","Archeria comberi","1","2688",NA,NA,"223427.771505","Archeria comberi","1","941",NA,NA,"34132.812346","Archeria comberi","1","25469",NA,NA,"29810872.754952"
