"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","within_sp_var_bio1","species.1","n_bio12","mean_bio12","sd_bio12","se_bio12","within_sp_var_bio12","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"88","Prunus annularis","6","5.67232","0.014422","0.005888","3.4e-05","Prunus annularis","6","7.667989","0.351049","0.143315","0.027817","Prunus annularis","6","7.269298","0.210355","0.085877","0.008505","Prunus annularis","6","9.507949","0.534355","0.21815","0.035243"
"89","Fragaria iinumae","21","5.632381","0.010305","0.002249","1e-05","Fragaria iinumae","21","7.419473","0.195645","0.042693","0.007948","Fragaria iinumae","21","6.63966","0.222075","0.048461","0.00243","Fragaria iinumae","21","9.933799","0.366899","0.080064","0.010069"
"90","Rosa brunonii","19","5.650534","0.020974","0.004812","1.1e-05","Rosa brunonii","19","6.815036","0.410034","0.094068","0.008784","Rosa brunonii","19","7.08243","0.227826","0.052267","0.002686","Rosa brunonii","19","8.906397","0.424421","0.097369","0.011129"
"91","Potentilla hyparctica","319","5.575757","0.022841","0.001279","1e-06","Potentilla hyparctica","319","5.684999","0.662143","0.037073","0.000523","Potentilla hyparctica","280","5.92577","0.748318","0.044721","0.000182","Potentilla hyparctica","281","9.085643","0.612063","0.036513","0.000753"
"92","Rosa setigera","78","5.653242","0.009777","0.001107","3e-06","Rosa setigera","78","6.942322","0.138497","0.015682","0.00214","Rosa setigera","77","7.175498","0.143905","0.016399","0.000663","Rosa setigera","77","8.985104","0.154257","0.017579","0.002746"
"93","Cotoneaster franchetii","153","5.654385","0.010767","0.00087","1e-06","Cotoneaster franchetii","153","6.955115","0.410267","0.033168","0.001091","Cotoneaster franchetii","147","7.097783","0.184739","0.015237","0.000347","Cotoneaster franchetii","147","9.048728","0.463462","0.038226","0.001438"
"94","Crataegus castlegarensis","50","5.634208","0.008915","0.001261","4e-06","Crataegus castlegarensis","50","6.225612","0.487033","0.068877","0.003338","Crataegus castlegarensis","50","7.10166","0.163789","0.023163","0.001021","Crataegus castlegarensis","50","8.333531","0.603387","0.085332","0.004229"
"95","Crataegus maximowiczii","34","5.622125","0.010579","0.001814","6e-06","Crataegus maximowiczii","34","6.587241","0.191335","0.032814","0.004909","Crataegus maximowiczii","34","6.84324","0.104828","0.017978","0.001501","Crataegus maximowiczii","34","8.933163","0.216573","0.037142","0.006219"
"96","Amelanchier alnifolia","31","5.637464","0.00848","0.001523","7e-06","Amelanchier alnifolia","31","6.164632","0.535336","0.096149","0.005384","Amelanchier alnifolia","31","7.133658","0.140767","0.025282","0.001646","Amelanchier alnifolia","31","8.230083","0.652585","0.117208","0.006821"
"97","Potentilla verna","88","5.640345","0.011235","0.001198","2e-06","Potentilla verna","88","6.582974","0.273981","0.029206","0.001897","Potentilla verna","82","6.857392","0.274048","0.030264","0.000622","Potentilla verna","82","8.911951","0.4829","0.053327","0.002579"
"98","Rosa agrestis","105","5.64932","0.011458","0.001118","2e-06","Rosa agrestis","105","6.57064","0.292223","0.028518","0.00159","Rosa agrestis","104","7.088946","0.212511","0.020838","0.000491","Rosa agrestis","104","8.683108","0.491343","0.04818","0.002033"
"99","Rubus gunnianus","5","5.635817","0.004507","0.002016","4.1e-05","Rubus gunnianus","5","7.284357","0.248793","0.111264","0.03338","Rubus gunnianus","5","6.803436","0.063789","0.028527","0.010206","Rubus gunnianus","5","9.700084","0.244838","0.109495","0.042292"
"100","Geum aleppicum","716","5.629347","0.017838","0.000667","0","Geum aleppicum","716","6.49458","0.45304","0.016931","0.000233","Geum aleppicum","715","6.889958","0.262291","0.009809","7.1e-05","Geum aleppicum","715","8.806048","0.554553","0.020739","0.000296"
